"log2foldChange" "pValues" "FDR"
"ENSG00000225972.1" 0.682424770224546 0.00188480278043343 0.0229386935880679
"ENSG00000198744.5" 1.02892061658028 0.000303357860918024 0.00642794413612523
"ENSG00000231103.2" -3.84107912166414 0.00268520118657328 0.0295094333015959
"ENSG00000282143.1" -0.626189706261806 0.00391493631429425 0.0381796144976211
"ENSG00000117122.13" 0.515223810878472 0.00235807752458037 0.0268962246016765
"ENSG00000228105.1" -2.93422519541984 0.000306625395873953 0.00645798480145751
"ENSG00000162598.13" 0.504895717379621 0.00058470643389291 0.0101148820272673
"ENSG00000237954.7" -3.0631420655808 0.00554431278763298 0.0485117874886501
"ENSG00000200360.1" 1.99014898780652 0.000244623868690081 0.00556457527565719
"ENSG00000159516.8" -0.579078210275658 2.78520698894208e-05 0.00121367765849411
"ENSG00000196154.11" 0.905636416956587 4.75307008491552e-12 2.05844496754418e-08
"ENSG00000237409.2" 0.90609167277024 0.00290596728666421 0.0310978821971478
"ENSG00000072694.19" 0.54381523134339 0.000306014438738403 0.00645750108732088
"ENSG00000132185.16" 0.575665837565824 6.59514145328233e-06 0.000434276565871106
"ENSG00000231605.5" -0.662629586313901 0.000999093237507076 0.0147287115139168
"ENSG00000007908.15" -1.01022061378544 0.000957817729975053 0.0142923769407886
"ENSG00000227579.5" -0.557315631633553 0.000385922095414754 0.00758394652848302
"ENSG00000179452.2" -0.600212629157756 0.00543336711898092 0.0477966513747853
"ENSG00000236069.1" 0.695121152816127 0.00195555897917224 0.0235554066169014
"ENSG00000134389.9" -0.523232290671328 0.00351206566220495 0.0354226615517984
"ENSG00000237379.1" 0.958680470049824 3.63958637465134e-07 5.77303941956885e-05
"ENSG00000280687.1" -Inf 0.00556501283127041 0.048582205367152
"ENSG00000162896.5" 0.773063029980829 0.00096228677308455 0.0143460054644443
"ENSG00000225712.1" -1.28331513763286 0.00517111084592684 0.0462925012920466
"ENSG00000236136.1" 0.602203586036357 0.000939442784940419 0.01411169391466
"ENSG00000143768.11" 0.516729980439618 0.00246666113862427 0.0278191150049171
"ENSG00000229367.1" -0.969385222841085 0.00259282545759556 0.0287637582783507
"ENSG00000228058.1" 0.648355902020299 2.64531448239498e-09 1.49238928922374e-06
"ENSG00000211525.2" 1.60165463972116 0.000529963343727626 0.00941512315326662
"ENSG00000235710.4" -0.606483797842104 0.00473289617287269 0.0435253274310246
"ENSG00000223776.5" -0.627783527840568 0.00131188943604031 0.0177760229239638
"ENSG00000251750.1" -4.0317325797511 0.00305179843016217 0.0321512446890213
"ENSG00000162843.17" 0.639377982454195 1.94989333098931e-05 0.000934200227748245
"ENSG00000198104.2" -0.710877688262609 0.00253618884668733 0.0283083727336432
"ENSG00000188558.5" -0.526028107396979 0.000118170404703601 0.00334657635050941
"ENSG00000220999.3" -0.837194034788509 0.00507766029363552 0.0457030015238497
"ENSG00000163009.8" -0.510472226124131 6.1032558976649e-08 1.64408280879681e-05
"ENSG00000228496.1" 0.818666778539581 0.00356767608923079 0.0357593312842609
"ENSG00000157833.12" 0.528607151831324 4.36191643074846e-12 2.04646579209282e-08
"ENSG00000270422.1" -Inf 7.87868019383868e-05 0.00253613318989776
"ENSG00000233978.1" -0.520602673247635 0.00385218793766771 0.0377582169449029
"ENSG00000252934.1" 0.793622058135669 0.00204396844617175 0.0242672761534099
"ENSG00000237179.5" -2.17299208264055 0.0018270651791557 0.0224152908229387
"ENSG00000116031.8" -0.865784835363578 0.00204963877610365 0.0243037577536228
"ENSG00000272183.1" 0.588069913284571 3.3064187566061e-06 0.000270568860460644
"ENSG00000236847.1" -1.93091854416109 0.00253328703537778 0.028307080267019
"ENSG00000278962.1" -0.566148966445398 9.14121994784608e-05 0.00279709489239517
"ENSG00000227817.4" -0.548678770194455 0.00494327490989126 0.044859183982411
"ENSG00000224425.2" -0.54837936723428 8.22243960571661e-06 0.000505740364165537
"ENSG00000233087.6" -0.545139462717802 0.000373134868768449 0.00741005048030464
"ENSG00000121966.6" 0.705697533183082 7.61435854563506e-08 1.95634046859004e-05
"ENSG00000123610.4" 0.545318608741991 0.000111707253584145 0.00322353581588281
"ENSG00000242113.3" 0.63125122555664 0.00225749148018882 0.0261032594649067
"ENSG00000231203.1" -0.976022489694156 0.00284079318841764 0.0306518131466124
"ENSG00000224791.1" -1.1159834896722 0.00500435873664098 0.0452457679256283
"ENSG00000279921.1" -0.517355433167321 0.00467476773025553 0.0431316655544717
"ENSG00000152049.6" 0.608136525276861 1.68955310097401e-05 0.000840298936261806
"ENSG00000229172.1" 1.16104908059637 0.000766676498405915 0.0122834054810054
"ENSG00000230119.1" -0.597460753057226 0.00401499750165752 0.0388058985997113
"ENSG00000226302.1" -0.664394503156441 0.00571517318128682 0.0494565401331768
"ENSG00000280684.1" -0.712792603579772 0.00016275532705374 0.00416576992915601
"ENSG00000138472.10" -0.589985523567658 6.06396042405512e-05 0.00208425501754764
"ENSG00000174255.6" -0.970299937445892 0.00254080863908106 0.0283524069302542
"ENSG00000244157.1" -0.943209470964824 0.00194255281847804 0.0234611171035342
"ENSG00000174948.5" -0.550744741468023 3.68399416545704e-05 0.00147075042256655
"ENSG00000241168.1" -0.585520472624698 0.00112650287894672 0.0159592632321843
"ENSG00000201342.1" 1.21287279664109 0.00179026697942437 0.0220889833314907
"ENSG00000227440.1" 0.60088825198919 0.000454351047066638 0.0085238133788243
"ENSG00000242140.1" -0.616928720816946 0.000515188463108729 0.00926680845783433
"ENSG00000113905.4" -0.501067432559367 0.00514959871526089 0.0461954123118528
"ENSG00000181092.9" -0.706611815275665 0.00536518264005668 0.0473670664317377
"ENSG00000199420.1" -0.529673954276947 0.00201282341578613 0.0240088894721947
"ENSG00000251212.1" -1.34364664347305 6.03344165743457e-05 0.00207757043005239
"ENSG00000249645.1" -0.689060901092057 0.00110130222064038 0.0157334542912864
"ENSG00000251410.1" 0.604341286158291 0.000124912420480867 0.00348319429077406
"ENSG00000162840.4" 0.54560647472613 0.00280809395758984 0.0304381382002904
"ENSG00000215110.7" -Inf 0.00556501283127041 0.048582205367152
"ENSG00000186212.3" -0.505251415731937 0.000114356263734264 0.00326815109047668
"ENSG00000251019.1" 0.71527186650673 0.00420040356181187 0.0400139967055852
"ENSG00000244002.1" -1.35300594165346 0.00477011781620035 0.0437604094919472
"ENSG00000221440.1" 3.50644938832518 0.000431515039566451 0.00821308205800919
"ENSG00000238553.1" -0.547691586490842 0.00489321813436999 0.0445413388787438
"ENSG00000225665.4" -1.94282252624419 0.00196402969541299 0.0236321589766512
"ENSG00000251632.1" 0.717743466962837 2.92827870473453e-08 9.7551533181393e-06
"ENSG00000183090.5" -0.73902956314936 4.88434083695366e-10 4.70361050565692e-07
"ENSG00000250706.1" -0.527583055628873 8.04151189792026e-05 0.00257014833187285
"ENSG00000244512.3" -1.67444782133424 0.00248428198360469 0.0279450700653235
"ENSG00000251147.1" -3.45554341890697 0.00316556111357932 0.0329079098162804
"ENSG00000250645.1" -0.539693003521402 0.00394726033734654 0.0383620104120439
"ENSG00000164362.18" -0.52770636217856 5.77003206530236e-07 7.81621680361992e-05
"ENSG00000249326.1" -2.24747406917007 0.00122618449738669 0.0169784031487631
"ENSG00000280368.1" -1.06869962718051 0.000317891349448166 0.00660219992882433
"ENSG00000251423.1" -0.839765120487544 1.7621487211211e-08 6.48424660124955e-06
"ENSG00000250250.1" -0.607974605571853 0.00267631230628935 0.0294643015329867
"ENSG00000251189.1" -0.506580668674206 0.000248234396792595 0.00561122466654247
"ENSG00000251163.1" 0.521909933588329 0.00430440454704346 0.0407222275245416
"ENSG00000248854.1" -1.29978799536608 0.00570635061426938 0.0493877847168895
"ENSG00000248294.1" -0.520686513447017 0.00128714902748731 0.0175676339994026
"ENSG00000248132.2" -1.26942665739363 0.00156532646733993 0.0201124610933798
"ENSG00000214857.4" 0.939187531895397 0.00159099469239089 0.0203482510635182
"ENSG00000281327.1" 0.576036123018807 4.29214170545608e-08 1.25858113550613e-05
"ENSG00000250437.1" -2.73530460971695 0.00563291739984899 0.0489629843463792
"ENSG00000250221.1" -2.13338901494698 0.00110094608138665 0.0157334542912864
