"log2foldChange" "pValues" "FDR"
"ENSG00000223972" 0.19001727655189 0.543456843163793 0.856193511613517
"ENSG00000227232" 0.0122929729633815 0.958189646649121 0.991131003239143
"ENSG00000278267" 0.143196146833865 0.18505137660536 0.643686987471334
"ENSG00000243485" 0.0775849678357293 0.783728271613961 0.940266654768833
"ENSG00000237613" -1.50903179658417 0.181919695881878 0.64075473577802
"ENSG00000268020" 1.52861030860981 0.384400458995693 0.781170225587735
"ENSG00000240361" 0.776189283573814 0.274624499968032 0.708365620516235
"ENSG00000186092" 0.188491719878572 0.954591954593794 0.990089477086283
"ENSG00000238009" 0.020381301298728 0.833996357995289 0.952194801421244
"ENSG00000233750" 0.0572244929722314 0.104295131881739 0.538173566065817
"ENSG00000268903" -0.0443180536958498 0.714241372689139 0.925626826350709
"ENSG00000269981" -0.0134071401269459 0.785713411598585 0.940935029527234
"ENSG00000239906" -0.155695413767331 0.372511572205212 0.77123794105065
"ENSG00000241860" -0.171185574507871 0.0425670468521705 0.399609738832479
"ENSG00000222623" -0.307649473506919 0.981519745874707 0.998441978965532
"ENSG00000241599" -1.10885458400534 0.550056018168056 0.856193511613517
"ENSG00000279928" 0.139672046268765 0.216272692759579 0.66249003623133
"ENSG00000279457" 0.0748013504670502 0.0839136170973257 0.500485527112891
"ENSG00000273874" Inf 0.0685427910493089 0.469446501815778
"ENSG00000275135" -0.959958398593321 0.139512332845163 0.600002557911744
"ENSG00000228463" -0.00896126433786389 0.830412587621198 0.951333089191274
"ENSG00000236679" -0.0164984280114032 0.773718697156591 0.936787286466463
"ENSG00000236743" -0.240421442198407 0.191655171036029 0.649296624597366
"ENSG00000236601" -1.16714641099639 0.766029106055808 0.936380850053039
"ENSG00000237094" -0.114967200817173 0.0927827509102446 0.521513316093136
"ENSG00000278566" Inf 0.419754046632042 0.782553236816593
"ENSG00000233653" -0.76554198510678 0.404212169665626 0.782553236816593
"ENSG00000250575" 1.02778287233767 0.163127309895174 0.622207080699247
"ENSG00000278757" -0.279249868978879 0.899258190500375 0.971966048182763
"ENSG00000230021" -0.107354437488378 0.151581365813727 0.612897889548395
"ENSG00000235146" Inf 0.419754046632042 0.782553236816593
"ENSG00000225972" 1.15742391017695 0.328778335141095 0.752619441775218
"ENSG00000225630" 0.118607573414013 0.00800744952753193 0.228500837966272
"ENSG00000276171" 0.141842325372053 0.443839280856934 0.800456059197673
"ENSG00000237973" 0.101528877523763 0.0189688155284931 0.306990258820213
"ENSG00000229344" -0.214924037795979 0.160770753621418 0.619168905909637
"ENSG00000240409" 0.237895303353139 0.0290474761683023 0.356483973383044
"ENSG00000248527" 0.0230955787590355 0.10206069381752 0.537698966770169
"ENSG00000198744" 0.216754926783039 0.084937959744156 0.503176592632664
"ENSG00000268663" 0.44564918545187 0.490184784223616 0.830851516848657
"ENSG00000229376" 0.0606505360403255 0.728237148504528 0.932483641130936
"ENSG00000228327" -0.00261148502130489 0.753409644067134 0.936380850053039
"ENSG00000223181" -0.621542092996805 0.39634379952027 0.782553236816593
"ENSG00000229905" 0.145291851391778 0.266682366820393 0.700502343634432
