"log2foldChange" "pValues" "FDR"
"ENSG00000223972" 0.24886129139682 0.918389760298354 0.984426198354355
"ENSG00000227232" 0.0652926911867455 0.161230361004257 0.823261462740103
"ENSG00000278267" 0.0135028681630691 0.875764025667649 0.981823740364811
"ENSG00000243485" -0.126454170400098 0.338508533391725 0.85579473878847
"ENSG00000237613" -0.570262993816938 0.767984714735911 0.971794143653007
"ENSG00000268020" -1.6438119161961 0.358283569953722 0.85579473878847
"ENSG00000240361" -0.438614176806728 0.887359631064814 0.981823740364811
"ENSG00000186092" -0.604897462583753 0.348292713016357 0.85579473878847
"ENSG00000238009" -0.0840422209349141 0.91736106842168 0.984426198354355
"ENSG00000233750" -0.0664672097293639 0.790180052515728 0.976869477952637
"ENSG00000268903" 0.00359909788467433 0.917651367172598 0.984426198354355
"ENSG00000269981" -0.038580385790093 0.934780248951266 0.988072941244474
"ENSG00000239906" 0.00389290420700998 0.852906640223602 0.981823740364811
"ENSG00000241860" -0.0988438661322019 0.547676554042516 0.910305689978587
"ENSG00000222623" 0.259768042159255 0.54621526095172 0.910305689978587
"ENSG00000241599" -0.628166613676273 0.195193093589425 0.826629398213882
"ENSG00000279928" -0.0730058209540015 0.350587923034065 0.85579473878847
"ENSG00000279457" 0.0506695133107309 0.412894386063441 0.870675458498322
"ENSG00000273874" -Inf 0.196765350888229 0.826629398213882
"ENSG00000275135" 1.59797385000764 0.0592270515485651 0.78418629024216
"ENSG00000228463" -0.090839758082925 0.402901110249909 0.870675458498322
"ENSG00000236679" 0.253381490675196 0.888810583945735 0.981823740364811
"ENSG00000236743" -0.275744135208792 0.614717948867233 0.936900598598382
"ENSG00000236601" -0.0236778653553165 0.67751766139122 0.947783907060791
"ENSG00000237094" 0.0205434809469653 0.297740934693045 0.851405265547002
"ENSG00000233653" 0.749036014207937 0.285888289370003 0.843953759202545
"ENSG00000250575" -1.18318983206813 0.357859004454365 0.85579473878847
"ENSG00000278757" -0.460207729112241 0.699632410165255 0.954454972713131
"ENSG00000230021" 0.00735849492225036 0.7900062650539 0.976869477952637
"ENSG00000225972" -0.474999139952399 0.0535871452105407 0.78418629024216
"ENSG00000225630" 0.0480025251120167 0.839623467094115 0.981763413988813
"ENSG00000276171" 0.0965031944034381 0.327452265064198 0.85579473878847
"ENSG00000237973" -0.00433401092494323 0.997263191905681 0.999392805099694
"ENSG00000229344" 0.479560304590586 0.0644842570733361 0.78418629024216
"ENSG00000240409" -0.0675549953290561 0.211073287695028 0.837744885569824
"ENSG00000248527" 0.0982321454516665 0.345039891779237 0.85579473878847
"ENSG00000198744" 0.812165689797237 0.116757544532384 0.796194646430612
"ENSG00000268663" 0.271346770954222 0.445906964484927 0.887834986496809
"ENSG00000273547" -Inf 0.196765350888229 0.826629398213882
"ENSG00000229376" -0.106880068821879 0.385228986137697 0.863995102951215
"ENSG00000228327" -0.113189685651581 0.627249153382124 0.94155872396972
"ENSG00000223181" 0.173372135013592 0.717282721564373 0.959171311548379
"ENSG00000229905" 0.0579356290834394 0.794750853736364 0.977052988270961
"ENSG00000237491" 0.0127521546219561 0.641915848807497 0.946485475118042
"ENSG00000230092" 0.0194489533971078 0.972246017217574 0.99459086998435
"ENSG00000177757" -0.0442338916842671 0.82318856124952 0.978996078254405
"ENSG00000228794" -0.0464215317924313 0.376441236702238 0.860400798915034
"ENSG00000225880" -0.00741745294622072 0.962089859964509 0.992702866167485
"ENSG00000230368" 0.0831786516052565 0.492059300822454 0.902981137976354
"ENSG00000234711" -0.321599270327925 0.0345249211987615 0.773872859869497
"ENSG00000283040" -0.350853389353899 0.583016613517754 0.92298209752853
"ENSG00000272438" 0.152042441567195 0.457505364143229 0.888438935257113
"ENSG00000230699" -0.0234575965701568 0.466816457428104 0.888438935257113
"ENSG00000241180" 0.212825315581838 0.294820782227583 0.850182398534791
"ENSG00000223764" 0.118721922342293 0.247705978138473 0.837744885569824
"ENSG00000187634" 0.165824100988793 0.131864950351172 0.806196211083137
"ENSG00000188976" -0.0438598383458467 0.265365747592097 0.837744885569824
"ENSG00000187961" -0.0352575263098998 0.861131150590936 0.981823740364811
"ENSG00000187583" 0.258917799198999 0.118863930860823 0.796194646430612
"ENSG00000187642" 0.153415786842726 0.634912687989286 0.94501013810025
"ENSG00000272512" 0.04219708068537 0.8734687298131 0.981823740364811
