"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0000002" "BP" "mitochondrial genome maintenance" 30 0 1 1
"GO:0000003" "BP" "reproduction" 1406 235 0.0679771282928428 1
"GO:0000012" "BP" "single strand break repair" 11 0 1 1
"GO:0000017" "BP" "alpha-glucoside transport" 2 0 1 1
"GO:0000018" "BP" "regulation of DNA recombination" 127 10 0.989897151803688 1
"GO:0000019" "BP" "regulation of mitotic recombination" 7 1 0.683759932181515 1
"GO:0000022" "BP" "mitotic spindle elongation" 11 0 1 1
"GO:0000023" "BP" "maltose metabolic process" 3 0 1 1
"GO:0000025" "BP" "maltose catabolic process" 1 0 0.999999999973292 1
"GO:0000027" "BP" "ribosomal large subunit assembly" 24 1 0.967845349831789 1
"GO:0000028" "BP" "ribosomal small subunit assembly" 18 0 1 1
"GO:0000038" "BP" "very long-chain fatty acid metabolic process" 34 6 0.314601941926605 1
"GO:0000041" "BP" "transition metal ion transport" 94 15 0.445760951909038 1
"GO:0000045" "BP" "autophagosome assembly" 107 15 0.750372223864146 1
"GO:0000050" "BP" "urea cycle" 10 3 0.108641014680356 1
"GO:0000052" "BP" "citrulline metabolic process" 7 3 0.163429136862698 1
"GO:0000053" "BP" "argininosuccinate metabolic process" 1 1 0.133645697093093 1
"GO:0000054" "BP" "ribosomal subunit export from nucleus" 14 1 0.899661524660908 1
"GO:0000055" "BP" "ribosomal large subunit export from nucleus" 7 0 1 1
"GO:0000056" "BP" "ribosomal small subunit export from nucleus" 8 0 1 1
"GO:0000070" "BP" "mitotic sister chromatid segregation" 178 14 0.999456718691191 1
"GO:0000075" "BP" "cell cycle checkpoint signaling" 188 15 0.999720088500793 1
"GO:0000076" "BP" "DNA replication checkpoint signaling" 18 0 1 1
"GO:0000077" "BP" "DNA damage checkpoint signaling" 122 10 0.997668637166705 1
"GO:0000079" "BP" "regulation of cyclin-dependent protein serine/threonine kinase activity" 80 13 0.655706116643812 1
"GO:0000080" "BP" "mitotic G1 phase" 2 0 1 1
"GO:0000082" "BP" "G1/S transition of mitotic cell cycle" 239 26 0.996812128215977 1
"GO:0000083" "BP" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 21 1 0.992516622890043 1
"GO:0000086" "BP" "G2/M transition of mitotic cell cycle" 134 20 0.822944219302845 1
