"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0000002" "BP" "mitochondrial genome maintenance" 30 11 0.987215421540272 1
"GO:0000003" "BP" "reproduction" 1406 773 0.318591103874628 1
"GO:0000012" "BP" "single strand break repair" 11 3 0.97719253045888 1
"GO:0000017" "BP" "alpha-glucoside transport" 2 1 0.70813968563937 1
"GO:0000018" "BP" "regulation of DNA recombination" 127 54 0.993236859282219 1
"GO:0000019" "BP" "regulation of mitotic recombination" 7 1 0.995900051387053 1
"GO:0000022" "BP" "mitotic spindle elongation" 11 5 0.824087208965614 1
"GO:0000023" "BP" "maltose metabolic process" 3 1 0.907342746255939 1
"GO:0000025" "BP" "maltose catabolic process" 1 0 1 1
"GO:0000027" "BP" "ribosomal large subunit assembly" 24 10 0.893436140557081 1
"GO:0000028" "BP" "ribosomal small subunit assembly" 18 7 0.901653724015315 1
"GO:0000038" "BP" "very long-chain fatty acid metabolic process" 34 18 0.510888678589763 1
"GO:0000041" "BP" "transition metal ion transport" 94 48 0.763796471746841 1
"GO:0000045" "BP" "autophagosome assembly" 107 59 0.591205906689881 1
"GO:0000050" "BP" "urea cycle" 10 6 0.383912683913484 1
"GO:0000052" "BP" "citrulline metabolic process" 7 5 0.454788665297386 1
"GO:0000053" "BP" "argininosuccinate metabolic process" 1 1 0.530398844913735 1
"GO:0000054" "BP" "ribosomal subunit export from nucleus" 14 4 0.989287522868991 1
"GO:0000055" "BP" "ribosomal large subunit export from nucleus" 7 3 0.8601265327452 1
"GO:0000056" "BP" "ribosomal small subunit export from nucleus" 8 3 0.922442636523296 1
"GO:0000070" "BP" "mitotic sister chromatid segregation" 178 74 0.999941480430641 1
"GO:0000075" "BP" "cell cycle checkpoint signaling" 188 86 0.998287923222243 1
"GO:0000076" "BP" "DNA replication checkpoint signaling" 18 6 0.966421185021125 1
"GO:0000077" "BP" "DNA damage checkpoint signaling" 122 60 0.95767817245328 1
"GO:0000079" "BP" "regulation of cyclin-dependent protein serine/threonine kinase activity" 80 39 0.954056224580961 1
"GO:0000080" "BP" "mitotic G1 phase" 2 1 0.766654313285153 1
"GO:0000082" "BP" "G1/S transition of mitotic cell cycle" 239 129 0.81295408189753 1
