"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0032501" "BP" "multicellular organismal process" 7283 1338 3.51068351306753e-13 7.92150627888557e-09
"GO:0009653" "BP" "anatomical structure morphogenesis" 2628 610 2.74375926055573e-11 3.09550919775898e-07
"GO:0048731" "BP" "system development" 3824 825 1.26327764398569e-10 9.50153225296438e-07
"GO:0032502" "BP" "developmental process" 6130 1187 2.81787183723256e-10 1.58956150338289e-06
"GO:0035295" "BP" "tube development" 1114 283 4.04838219306675e-10 1.78105089481098e-06
"GO:0048856" "BP" "anatomical structure development" 5630 1110 4.73599777028269e-10 1.78105089481098e-06
"GO:0007275" "BP" "multicellular organism development" 4476 930 7.52615987003384e-10 2.11858153996431e-06
"GO:0048513" "BP" "animal organ development" 2916 636 8.45028978003848e-10 2.11858153996431e-06
"GO:0009887" "BP" "animal organ morphogenesis" 1009 270 2.27864145003179e-09 5.14152656785173e-06
"GO:0051239" "BP" "regulation of multicellular organismal process" 2965 610 2.71986324163376e-09 5.57918128947493e-06
"GO:0030154" "BP" "cell differentiation" 4139 837 7.29845203853767e-09 1.25835436462705e-05
"GO:0048869" "BP" "cellular developmental process" 4141 837 7.80755234212848e-09 1.25835436462705e-05
"GO:0035239" "BP" "tube morphogenesis" 906 230 2.09291991043899e-08 2.79628301804283e-05
"GO:0009888" "BP" "tissue development" 1942 434 2.913180362724e-08 3.45963166865813e-05
"GO:0048568" "BP" "embryonic organ development" 443 138 3.92996382546565e-08 4.43378518789035e-05
"GO:0048562" "BP" "embryonic organ morphogenesis" 291 100 5.11180648941611e-08 4.97590581799109e-05
"GO:0003008" "BP" "system process" 2122 408 5.29257842721974e-08 4.97590581799109e-05
"GO:0048598" "BP" "embryonic morphogenesis" 602 175 6.98304586871658e-08 6.30261787926883e-05
"GO:0051240" "BP" "positive regulation of multicellular organismal process" 1604 352 7.48923207346405e-08 6.49950125021703e-05
"GO:0045165" "BP" "cell fate commitment" 279 95 9.62819723767414e-08 7.75895151681712e-05
"GO:0001501" "BP" "skeletal system development" 511 147 1.1012061613389e-07 8.28253860815032e-05
"GO:0001568" "BP" "blood vessel development" 754 187 1.4692964826771e-07 0.000104567831124614
"GO:0048514" "BP" "blood vessel morphogenesis" 670 168 1.60991828743956e-07 0.000110079382538746
"GO:0003013" "BP" "circulatory system process" 574 149 1.84652844297535e-07 0.000115736299409155
"GO:0008015" "BP" "blood circulation" 491 129 2.70119110017514e-07 0.000164356390834737
"GO:0048646" "BP" "anatomical structure formation involved in morphogenesis" 1202 283 2.76792361802873e-07 0.000164356390834737
"GO:0001944" "BP" "vasculature development" 786 191 3.60410570046604e-07 0.00020852061801363
"GO:0007389" "BP" "pattern specification process" 456 132 7.9500514740981e-07 0.000423589194817684
"GO:0072359" "BP" "circulatory system development" 1165 272 1.73410306635762e-06 0.000850615251941161
"GO:0048705" "BP" "skeletal system morphogenesis" 226 78 1.9129993866853e-06 0.000918402514067387
"GO:0060429" "BP" "epithelium development" 1189 273 2.33609475401441e-06 0.00109815920894961
"GO:0045229" "BP" "external encapsulating structure organization" 309 91 2.55228208469264e-06 0.00117529985630622
"GO:0043062" "BP" "extracellular structure organization" 308 91 2.69388609466248e-06 0.00119413164892189
"GO:0001525" "BP" "angiogenesis" 581 143 2.69902118839818e-06 0.00119413164892189
"GO:0003002" "BP" "regionalization" 415 120 3.81810381358232e-06 0.00165676335480137
"GO:0007423" "BP" "sensory organ development" 575 153 3.90426938043792e-06 0.00166218743962644
