"ONTOLOGY" "Term" "N" "DE" "P.DE" "FDR"
"GO:0048731" "BP" "system development" 3824 2584 7.72591920191957e-40 1.74327640872113e-35
"GO:0007275" "BP" "multicellular organism development" 4476 2953 1.34944216031634e-36 1.52244064526889e-32
"GO:0009653" "BP" "anatomical structure morphogenesis" 2628 1833 1.35116048611703e-35 1.01625284029149e-31
"GO:0048856" "BP" "anatomical structure development" 5630 3585 1.03615745156219e-33 5.84496418426229e-30
"GO:0032501" "BP" "multicellular organismal process" 7283 4392 1.70129218141571e-30 6.39799279691069e-27
"GO:0032502" "BP" "developmental process" 6130 3840 3.14538204328286e-30 1.01389143463763e-26
"GO:0048513" "BP" "animal organ development" 2916 1962 1.45575988574936e-29 4.10597075775606e-26
"GO:0007399" "BP" "nervous system development" 2378 1666 1.7651389180048e-29 4.42539939398447e-26
"GO:0009887" "BP" "animal organ morphogenesis" 1009 760 6.2025894568323e-26 1.39955228503964e-22
"GO:0030154" "BP" "cell differentiation" 4139 2658 9.05877089731936e-26 1.85820096842831e-22
"GO:0048869" "BP" "cellular developmental process" 4141 2658 1.35377273341172e-25 2.54554399639183e-22
"GO:0022008" "BP" "neurogenesis" 1635 1176 1.11099275961237e-24 1.92834158676105e-21
"GO:0009888" "BP" "tissue development" 1942 1319 3.17850712997886e-22 4.78132232538953e-19
"GO:0048699" "BP" "generation of neurons" 1408 1017 2.50486840189726e-21 3.53249066377562e-18
"GO:0007267" "BP" "cell-cell signaling" 1613 1117 6.91561711917971e-21 9.17905792218653e-18
"GO:0051239" "BP" "regulation of multicellular organismal process" 2965 1900 9.89600972068063e-21 1.2405197963191e-17
"GO:0030182" "BP" "neuron differentiation" 1332 959 2.16141320964364e-19 2.5668488243368e-16
"GO:0048646" "BP" "anatomical structure formation involved in morphogenesis" 1202 842 6.01555787765289e-19 6.72051485904056e-16
"GO:0050793" "BP" "regulation of developmental process" 2421 1598 6.25468941853624e-19 6.72051485904056e-16
"GO:0035295" "BP" "tube development" 1114 788 7.56491362811208e-19 7.75885050476004e-16
"GO:0007154" "BP" "cell communication" 6090 3647 2.64637950930123e-18 2.59621335860317e-15
"GO:0016477" "BP" "cell migration" 1494 1013 3.91546131945882e-18 3.68118621717787e-15
"GO:0023052" "BP" "signaling" 5998 3591 5.32495052627675e-18 4.80608734699635e-15
"GO:0048468" "BP" "cell development" 2658 1741 5.54742696475681e-18 4.81431315510664e-15
"GO:0035239" "BP" "tube morphogenesis" 906 650 6.05484097389487e-18 5.06005302722088e-15
"GO:0007166" "BP" "cell surface receptor signaling pathway" 2644 1688 5.07666392042386e-17 4.09106588215872e-14
"GO:0048870" "BP" "cell motility" 1686 1119 5.65755847977904e-17 4.40197067371498e-14
"GO:0007155" "BP" "cell adhesion" 1456 976 3.09350668473883e-16 2.18130890107647e-13
"GO:0010646" "BP" "regulation of cell communication" 3312 2105 4.18238768493816e-16 2.85973926433166e-13
"GO:0007417" "BP" "central nervous system development" 969 701 5.67460543913304e-16 3.76593520966464e-13
"GO:0051094" "BP" "positive regulation of developmental process" 1299 891 6.25505185149406e-16 4.03254257077463e-13
"GO:0008283" "BP" "cell population proliferation" 3116 1984 7.719998042771e-16 4.8387232176968e-13
"GO:0007423" "BP" "sensory organ development" 575 431 1.10130875657848e-15 6.71619750903696e-13
"GO:0023051" "BP" "regulation of signaling" 3308 2099 1.20562727230634e-15 7.15888783482109e-13
"GO:0007165" "BP" "signal transduction" 5557 3302 2.27459142983719e-15 1.31599694930375e-12
"GO:0045165" "BP" "cell fate commitment" 279 232 2.44092737298615e-15 1.34960272076281e-12
"GO:0072359" "BP" "circulatory system development" 1165 802 2.45230063602531e-15 1.34960272076281e-12
"GO:0065008" "BP" "regulation of biological quality" 2810 1782 4.03067346168402e-15 2.16543133308186e-12
"GO:0051240" "BP" "positive regulation of multicellular organismal process" 1604 1056 4.36591806652884e-15 2.29099012216644e-12
"GO:0001763" "BP" "morphogenesis of a branching structure" 195 170 5.86836349806191e-15 3.00940349932429e-12
"GO:2000026" "BP" "regulation of multicellular organismal development" 1409 945 1.03282154780798e-14 5.17879675660873e-12
"GO:0048568" "BP" "embryonic organ development" 443 346 2.43658552902011e-14 1.16976842291085e-11
