"ID" "Description" "setSize" "enrichmentScore" "NES" "pvalue" "p.adjust" "qvalue" "rank" "leading_edge" "core_enrichment"
"GO:0032543" "GO:0032543" "mitochondrial translation" 114 -0.774436156864967 -2.63767423748273 1e-10 2.01857142857143e-08 1.60651629072682e-08 1315 "tags=68%, list=15%, signal=58%" "Q9BW92/Q9NWT8/Q9BYN8/C9JJ19/P12081/O15235/Q9H0U6/Q9NVS2/Q7Z2W9/Q9P0M9/Q6P161/Q96RP9/Q9NX20/Q8N5N7/Q9NP92/Q7Z7H8/P82932/Q9Y2R0/Q8TAE8/Q9Y676/P09001/Q96EL2/Q92552/Q9NRX2/Q9BYC8/P82921/P82914/P49406/P82912/Q92665/Q9NQ50/O75394/Q15031/P82663/Q8TCC3/Q9NYY8/P82664/Q9Y399/P82650/Q9Y2Z4/Q9BQC6/Q9H9J2/Q9H2W6/A0A087X2D5/Q9NWU5/Q9Y3B7/Q13405/Q9Y3D3/Q14197/Q6P1L8/P82675/Q9NSE4/Q8IXM3/Q13084/Q9BYD2/Q9BZE1/Q9P015/P52815/Q9BYD6/Q96EL3/P82933/Q9Y2Q9/Q96A35/O95182/Q9Y3D9/P82673/Q5T653/P51398/Q9BYC9/Q7L0Y3/Q96EY7/Q96GC5/Q9NYK5/Q9HD33/Q9Y2R9/P42704/P49411"
"GO:0140053" "GO:0140053" "mitochondrial gene expression" 136 -0.75409505307326 -2.61006345509906 1e-10 2.01857142857143e-08 1.60651629072682e-08 1462 "tags=69%, list=17%, signal=59%" "Q9P0P8/Q96DV4/P43897/Q9BQ48/Q07021/Q7Z6M4/P34897/Q86TS9/Q9BW92/Q9NWT8/Q9BYN8/C9JJ19/Q7L8L6/P12081/O15235/Q9H0U6/Q9NVS2/Q7Z2W9/Q9P0M9/Q6P161/Q96RP9/Q9NX20/Q8N5N7/Q9NP92/Q969Z0/Q7Z7H8/P82932/Q9Y2R0/Q8TAE8/Q9Y676/P09001/Q53R41/Q96EL2/Q96QE5/Q00059/Q92552/Q9NRX2/Q9BYC8/P82921/P82914/P49406/O00411/P82912/Q92665/Q9NQ50/O75394/Q15031/Q8IYB8/P82663/Q8TCC3/Q9NYY8/Q9BSK2/P82664/Q9Y399/P82650/Q9Y2Z4/Q9BQC6/Q9H9J2/Q9H2W6/A0A087X2D5/Q9NWU5/Q9Y3B7/Q13405/Q9Y3D3/Q14197/Q6P1L8/P82675/Q9NSE4/Q8IXM3/Q13084/Q8TCS8/Q9BYD2/Q9BZE1/Q9P015/P52815/Q9BYD6/Q96EL3/P82933/Q9Y2Q9/Q96A35/O95182/Q9Y3D9/P82673/Q5T653/P51398/Q9BYC9/Q7L0Y3/Q96EY7/Q96GC5/Q9NYK5/Q9HD33/Q9Y2R9/P42704/P49411"
"GO:0006119" "GO:0006119" "oxidative phosphorylation" 115 -0.764225747675996 -2.60662730740004 1e-10 2.01857142857143e-08 1.60651629072682e-08 1448 "tags=70%, list=16%, signal=60%" "P09669/P34897/Q16718/P03905/Q86UB9/Q99643/P30405/O75947/Q16854/P30049/P07919/P56385/O75964/Q04656/Q9Y375/O75489/P00403/P15954/P21912/O75208/Q9Y6H1/Q9BV35/P00414/P25705/P14854/P24539/Q96QE5/O14561/Q9NX18/O75438/Q8WV93/O96000/P18859/P47985/O95168/Q9BSK2/P03897/P20674/P14927/Q9UI09/P56181/O43678/Q86Y39/O43676/O75323/P13073/O00483/P56556/P31040/O14521/P08574/O95139/O75306/P22695/O75380/P28331/O43920/P31930/O00217/O43677/O95169/Q9H3K2/O14949/O95182/Q9H1K1/O75251/P10606/Q5JTJ3/Q16795/O95299/O14548/O43181/Q9P0J0/O43674/Q9Y6M9/Q9NX14/P09622/O95167/P51970/O95298/P17568"
"GO:0009060" "GO:0009060" "aerobic respiration" 152 -0.737793234956203 -2.57629120672105 1e-10 2.01857142857143e-08 1.60651629072682e-08 1497 "tags=66%, list=17%, signal=56%" "Q96LL9/P51553/P09669/P34897/Q16718/P03905/Q86UB9/Q99643/P30405/O75947/Q16854/P30049/P07919/P56385/P07954/O75964/Q99798/O43837/Q9ULD0/Q04656/Q9Y375/O75489/P00403/P15954/P21912/O75208/P50213/P36957/Q9Y6H1/Q9BV35/P00414/P25705/P14854/P24539/Q96QE5/O14561/Q9NX18/Q16798/O75438/Q8WV93/O96000/P18859/P82909/P47985/O95168/Q9BSK2/P03897/P20674/Q9P2R7/P53597/P14927/Q9UI09/P56181/O43678/Q86Y39/O43676/E9PCR7/O75323/P13073/O00483/P56556/P31040/O14521/P08574/O95139/O75306/P22695/O75380/P28331/Q13423/O43920/P31930/O00217/P10515/O43677/O95169/Q9H3K2/O14949/O95182/Q9H1K1/O75251/P10606/Q5JTJ3/Q16795/O95299/O14548/O43181/Q9P0J0/O43674/Q9Y6M9/Q9NX14/P09622/O95167/O75390/P51970/P11177/O95298/P17568/P48735/P08559"
"GO:0033108" "GO:0033108" "mitochondrial respiratory chain complex assembly" 85 -0.794600332324279 -2.57395459497679 1e-10 2.01857142857143e-08 1.60651629072682e-08 1387 "tags=67%, list=16%, signal=57%" "Q16718/P03905/Q9NU23/Q9NW81/Q9Y512/Q8IUX1/Q9Y375/O75489/Q96CU9/Q9H061/Q330K2/Q9Y2R0/Q5U5X0/Q00059/O14561/Q8N8Q8/Q69YU5/Q9NX18/O75438/Q9H845/Q8N4Q1/O96000/Q49B96/P47985/O95168/Q9BSK2/Q6DKK2/O75880/Q9Y276/Q9UI09/O43678/Q86Y39/O43676/P56556/O95139/O75306/P28331/O43920/O00217/O43677/O95169/O95831/O75251/Q16795/O95299/O43181/Q9P0J0/O43674/Q9Y6M9/Q5VUM1/Q9NX14/O95167/Q9GZY4/P51970/Q7L592/O95298/P17568"
"GO:0042773" "GO:0042773" "ATP synthesis coupled electron transport" 79 -0.802838473025977 -2.57078068670137 1e-10 2.01857142857143e-08 1.60651629072682e-08 1387 "tags=78%, list=16%, signal=67%" "Q16718/P03905/Q99643/Q16854/P07919/Q9Y375/O75489/P00403/P15954/P21912/O75208/Q9Y6H1/P00414/P14854/O14561/Q9NX18/O75438/Q8WV93/O96000/P47985/O95168/P03897/P20674/P14927/Q9UI09/P56181/O43678/O43676/P13073/O00483/P56556/P31040/O14521/P08574/O95139/O75306/P22695/O75380/P28331/O43920/P31930/O00217/O43677/O95169/Q9H3K2/O14949/O95182/Q9H1K1/O75251/P10606/Q5JTJ3/Q16795/O95299/O14548/O43181/O43674/Q9Y6M9/P09622/O95167/P51970/O95298/P17568"
"GO:0042775" "GO:0042775" "mitochondrial ATP synthesis coupled electron transport" 79 -0.802838473025977 -2.57078068670137 1e-10 2.01857142857143e-08 1.60651629072682e-08 1387 "tags=78%, list=16%, signal=67%" "Q16718/P03905/Q99643/Q16854/P07919/Q9Y375/O75489/P00403/P15954/P21912/O75208/Q9Y6H1/P00414/P14854/O14561/Q9NX18/O75438/Q8WV93/O96000/P47985/O95168/P03897/P20674/P14927/Q9UI09/P56181/O43678/O43676/P13073/O00483/P56556/P31040/O14521/P08574/O95139/O75306/P22695/O75380/P28331/O43920/P31930/O00217/O43677/O95169/Q9H3K2/O14949/O95182/Q9H1K1/O75251/P10606/Q5JTJ3/Q16795/O95299/O14548/O43181/O43674/Q9Y6M9/P09622/O95167/P51970/O95298/P17568"
"GO:0019646" "GO:0019646" "aerobic electron transport chain" 74 -0.800185478166636 -2.53843332804133 1e-10 2.01857142857143e-08 1.60651629072682e-08 1122 "tags=72%, list=13%, signal=63%" "Q9Y375/O75489/P00403/P15954/P21912/O75208/P00414/P14854/O14561/Q9NX18/O75438/Q8WV93/O96000/P47985/O95168/P03897/P20674/P14927/P56181/O43678/O43676/P13073/O00483/P56556/P31040/O14521/P08574/O95139/O75306/P22695/O75380/P28331/O43920/P31930/O00217/O43677/O95169/O14949/O95182/Q9H1K1/O75251/P10606/Q16795/O95299/O14548/O43181/O43674/Q9Y6M9/P09622/O95167/P51970/O95298/P17568"
"GO:0045333" "GO:0045333" "cellular respiration" 179 -0.701903509911111 -2.47761513805891 1e-10 2.01857142857143e-08 1.60651629072682e-08 1411 "tags=59%, list=16%, signal=51%" "P34897/Q16718/P03905/Q86UB9/Q99643/P30405/O75947/Q16854/P30049/P07919/P56385/P07954/O75964/Q99798/O43837/Q9ULD0/Q04656/Q9Y375/O75489/P00403/P15954/P21912/O75208/P50213/P36957/Q16134/Q9H936/Q9Y6H1/Q9BV35/P00414/Q9UJS0/Q5U5X0/P25705/P14854/P24539/Q96QE5/O14561/Q9NZ45/Q9NX18/Q16798/O75438/Q8WV93/O96000/P18859/P82909/P47985/O95168/Q9BSK2/P03897/P20674/P38117/Q9P2R7/P13804/P53597/P14927/Q9UI09/P56181/O43678/Q86Y39/O43676/E9PCR7/O75323/P13073/O00483/P56556/P31040/O14521/P08574/Q8TCS8/O95139/O75306/P22695/O75380/P28331/Q13423/O43920/P31930/O00217/P10515/O43677/O95169/Q9H3K2/O14949/O95182/Q9H1K1/O75251/P10606/Q5JTJ3/Q16795/O95299/O14548/O43181/Q9P0J0/O43674/Q9Y6M9/Q5VUM1/Q9NX14/P09622/O95167/O75390/P51970/P11177/O95298/P17568/P48735/P08559"
"GO:0015986" "GO:0015986" "proton motive force-driven ATP synthesis" 63 -0.794728273180579 -2.47483582155311 1e-10 2.01857142857143e-08 1.60651629072682e-08 1387 "tags=76%, list=16%, signal=65%" "Q16718/P03905/Q99643/O75947/P30049/P56385/O75964/O75489/P21912/P25705/P24539/Q96IX5/O14561/O75438/O96000/P18859/P56378/O95168/P03897/Q9UI09/P56181/O43678/Q86Y39/O43676/P56556/P31040/O14521/O95139/O75306/O75380/P28331/O43920/O00217/O43677/O95169/O95182/O75251/Q16795/O95299/O43181/Q9P0J0/O43674/Q9Y6M9/Q9NX14/O95167/P51970/O95298/P17568"
"GO:0022904" "GO:0022904" "respiratory electron transport chain" 96 -0.742971228017906 -2.4492686330042 1e-10 2.01857142857143e-08 1.60651629072682e-08 1122 "tags=65%, list=13%, signal=57%" "Q9Y375/O75489/P00403/P15954/P21912/O75208/Q16134/Q9H936/Q9Y6H1/P00414/Q9UJS0/P14854/O14561/Q9NX18/O75438/Q8WV93/O96000/P47985/O95168/P03897/P20674/P38117/P13804/P14927/Q9UI09/P56181/O43678/O43676/P13073/O00483/P56556/P31040/O14521/P08574/O95139/O75306/P22695/O75380/P28331/O43920/P31930/O00217/O43677/O95169/Q9H3K2/O14949/O95182/Q9H1K1/O75251/P10606/Q5JTJ3/Q16795/O95299/O14548/O43181/O43674/Q9Y6M9/P09622/O95167/P51970/O95298/P17568"
"GO:0042776" "GO:0042776" "proton motive force-driven mitochondrial ATP synthesis" 58 -0.801271019184961 -2.44431216128017 1e-10 2.01857142857143e-08 1.60651629072682e-08 1387 "tags=79%, list=16%, signal=67%" "Q16718/P03905/Q99643/O75947/P30049/P56385/O75964/O75489/P21912/P25705/P24539/O14561/O75438/O96000/P18859/O95168/P03897/Q9UI09/P56181/O43678/Q86Y39/O43676/P56556/P31040/O14521/O95139/O75306/O75380/P28331/O43920/O00217/O43677/O95169/O95182/O75251/Q16795/O95299/O43181/Q9P0J0/O43674/Q9Y6M9/Q9NX14/O95167/P51970/O95298/P17568"
"GO:0010257" "GO:0010257" "NADH dehydrogenase complex assembly" 55 -0.803821917437709 -2.41983923830847 1e-10 2.01857142857143e-08 1.60651629072682e-08 1387 "tags=76%, list=16%, signal=65%" "Q16718/P03905/Q9NU23/Q9NW81/Q8IUX1/Q9Y375/O75489/Q96CU9/Q9H061/Q330K2/O14561/O75438/Q9H845/O96000/O95168/Q9Y276/Q9UI09/O43678/Q86Y39/O43676/P56556/O95139/O75306/P28331/O43920/O00217/O43677/O95169/O75251/Q16795/O95299/O43181/Q9P0J0/O43674/Q9Y6M9/Q9NX14/O95167/Q9GZY4/P51970/Q7L592/O95298/P17568"
"GO:0032981" "GO:0032981" "mitochondrial respiratory chain complex I assembly" 55 -0.803821917437709 -2.41983923830847 1e-10 2.01857142857143e-08 1.60651629072682e-08 1387 "tags=76%, list=16%, signal=65%" "Q16718/P03905/Q9NU23/Q9NW81/Q8IUX1/Q9Y375/O75489/Q96CU9/Q9H061/Q330K2/O14561/O75438/Q9H845/O96000/O95168/Q9Y276/Q9UI09/O43678/Q86Y39/O43676/P56556/O95139/O75306/P28331/O43920/O00217/O43677/O95169/O75251/Q16795/O95299/O43181/Q9P0J0/O43674/Q9Y6M9/Q9NX14/O95167/Q9GZY4/P51970/Q7L592/O95298/P17568"
"GO:0006120" "GO:0006120" "mitochondrial electron transport, NADH to ubiquinone" 42 -0.81834090240889 -2.37054584983113 1e-10 2.01857142857143e-08 1.60651629072682e-08 1122 "tags=81%, list=13%, signal=71%" "Q9Y375/O75489/O75208/O14561/O75438/O96000/O95168/P03897/P56181/O43678/O43676/O00483/P56556/O95139/O75306/O75380/P28331/O43920/O00217/O43677/O95169/O95182/Q9H1K1/O75251/Q16795/O95299/O43181/O43674/Q9Y6M9/P09622/O95167/P51970/O95298/P17568"
"GO:0006754" "GO:0006754" "ATP biosynthetic process" 75 -0.724584560442122 -2.29895047144437 1e-10 2.01857142857143e-08 1.60651629072682e-08 1387 "tags=65%, list=16%, signal=56%" "Q16718/P03905/Q99643/O75947/P30049/P56385/O75964/O75489/P21912/Q9UJS0/P25705/P24539/Q96IX5/O14561/O75438/O96000/P18859/P56378/O95168/P03897/Q9UI09/P56181/O43678/Q86Y39/O43676/P56556/P31040/O14521/O95139/O75306/O75380/P28331/O43920/O00217/O43677/O95169/O95182/O75251/Q16795/O95299/O43181/Q9P0J0/O43674/Q9Y6M9/Q9NX14/O95167/P51970/O95298/P17568"
