"ID" "Description" "setSize" "enrichmentScore" "NES" "pvalue" "p.adjust" "qvalue" "rank" "leading_edge" "core_enrichment"
"GO:0009060" "GO:0009060" "aerobic respiration" 152 -0.723324155238306 -2.76333963204668 1e-10 7.56964285714286e-09 5.81390977443609e-09 1283 "tags=61%, list=15%, signal=53%" "Q9BZ23/O14548/Q96HY7/O75208/P56385/P00403/P56381/P08574/P00414/O14521/Q96LL9/Q16798/P53597/O00483/Q9ULD0/P14854/P40926/P21399/Q9BV35/Q16854/P82909/P47985/P06576/P13073/P07919/O95139/O43837/P24539/P34897/P22695/P03923/P21912/P09622/E9PCR7/Q13423/O75489/P30049/P10606/O14949/P50213/P36957/Q86Y39/O95168/O75947/P51553/O75323/O43674/Q9H1K1/P20674/O43678/P31930/P56181/O43676/Q9P0J0/O75251/P14927/O75380/O95167/P56556/P14735/O95182/O00217/O95298/P25705/O43677/O75390/Q9P2R7/P03897/Q9H3K2/Q8N8R5/Q9NX18/O75306/O95169/P10515/P28331/Q16795/Q5JTJ3/O43181/Q9UI09/P51970/Q04656/Q99798/Q9Y6M9/O96000/P07954/O95299/P08559/Q9NX14/O43920/P48735/P17568/P11177"
"GO:0006119" "GO:0006119" "oxidative phosphorylation" 115 -0.732900567221502 -2.74190267079435 1e-10 7.56964285714286e-09 5.81390977443609e-09 1185 "tags=59%, list=13%, signal=52%" "O75208/P56385/P00403/P56381/P08574/P00414/O14521/Q96LL9/O00483/P14854/Q9BV35/Q16854/P47985/P06576/P13073/P07919/O95139/P24539/P34897/P22695/P03923/P21912/P09622/O75489/P30049/P10606/O14949/Q86Y39/O95168/O75947/O75323/O43674/Q9H1K1/P20674/O43678/P31930/P56181/O43676/Q9P0J0/O75251/P14927/O75380/O95167/P56556/O95182/O00217/O95298/P25705/O43677/P03897/Q9H3K2/Q8N8R5/Q9NX18/O75306/O95169/P28331/Q16795/Q5JTJ3/O43181/Q9UI09/P51970/Q04656/Q9Y6M9/O96000/O95299/Q9NX14/O43920/P17568"
"GO:0045333" "GO:0045333" "cellular respiration" 179 -0.705588843087301 -2.73301198743763 1e-10 7.56964285714286e-09 5.81390977443609e-09 1213 "tags=57%, list=14%, signal=50%" "Q9BZ23/O14548/Q96HY7/O75208/P56385/P00403/P56381/P08574/P00414/O14521/Q96LL9/Q9NZ45/O43819/Q16798/P53597/Q96MF6/O00483/Q9ULD0/P14854/P40926/P21399/Q9BV35/Q16854/P82909/P47985/P06576/P13073/P07919/O95139/O43837/P24539/P34897/P22695/P03923/P21912/P09622/E9PCR7/Q16134/Q13423/O75489/P30049/Q5U5X0/P10606/O14949/P38117/P50213/P36957/Q86Y39/O95168/O75947/P51553/O75323/O43674/P42336/Q9H1K1/P20674/O43678/P31930/P56181/O43676/Q9P0J0/O75251/P14927/O75380/O95167/P56556/P14735/O95182/O00217/O95298/P25705/O43677/O75390/Q9H936/Q9P2R7/P03897/Q9H3K2/Q8N8R5/Q9NX18/O75306/O95169/P13804/P10515/P28331/Q16795/Q5JTJ3/O43181/Q9UI09/P51970/Q04656/Q99798/Q9Y6M9/O96000/P07954/O95299/P08559/Q9NX14/Q8TCS8/O43920/P48735/P17568/P11177"
"GO:0015986" "GO:0015986" "proton motive force-driven ATP synthesis" 63 -0.787039796405846 -2.66925817247672 1e-10 7.56964285714286e-09 5.81390977443609e-09 1173 "tags=71%, list=13%, signal=62%" "P56385/P56381/Q9Y2B5/O14521/Q96LL9/Q96IX5/P06576/O95139/P24539/P03923/P21912/O75489/P30049/Q86Y39/O95168/O75947/O43674/O43678/P56181/O43676/Q9P0J0/O75251/O75380/O95167/P56556/O95182/O00217/O95298/P25705/O43677/P03897/P38606/O75306/O95169/P28331/Q16795/O43181/Q9UI09/P51970/Q9Y6M9/O96000/O95299/Q9NX14/O43920/P17568"
"GO:0042773" "GO:0042773" "ATP synthesis coupled electron transport" 79 -0.769496863236901 -2.66660090863819 1e-10 7.56964285714286e-09 5.81390977443609e-09 1251 "tags=67%, list=14%, signal=58%" "O14548/O75208/P00403/P08574/P00414/O14521/O00483/P14854/Q16854/P47985/P13073/P07919/O95139/P22695/P03923/P21912/P09622/O75489/P10606/O14949/O95168/O43674/Q9H1K1/P20674/O43678/P31930/P56181/O43676/O75251/P14927/O75380/O95167/P56556/O95182/O00217/O95298/O43677/P03897/Q9H3K2/Q9NX18/O75306/O95169/P28331/Q16795/Q5JTJ3/O43181/Q9UI09/P51970/Q9Y6M9/O96000/O95299/O43920/P17568"
"GO:0042775" "GO:0042775" "mitochondrial ATP synthesis coupled electron transport" 79 -0.769496863236901 -2.66660090863819 1e-10 7.56964285714286e-09 5.81390977443609e-09 1251 "tags=67%, list=14%, signal=58%" "O14548/O75208/P00403/P08574/P00414/O14521/O00483/P14854/Q16854/P47985/P13073/P07919/O95139/P22695/P03923/P21912/P09622/O75489/P10606/O14949/O95168/O43674/Q9H1K1/P20674/O43678/P31930/P56181/O43676/O75251/P14927/O75380/O95167/P56556/O95182/O00217/O95298/O43677/P03897/Q9H3K2/Q9NX18/O75306/O95169/P28331/Q16795/Q5JTJ3/O43181/Q9UI09/P51970/Q9Y6M9/O96000/O95299/O43920/P17568"
"GO:0042776" "GO:0042776" "proton motive force-driven mitochondrial ATP synthesis" 58 -0.796142389846419 -2.6521429319971 1e-10 7.56964285714286e-09 5.81390977443609e-09 733 "tags=66%, list=8%, signal=60%" "P06576/O95139/P24539/P03923/P21912/O75489/P30049/Q86Y39/O95168/O75947/O43674/O43678/P56181/O43676/Q9P0J0/O75251/O75380/O95167/P56556/O95182/O00217/O95298/P25705/O43677/P03897/O75306/O95169/P28331/Q16795/O43181/Q9UI09/P51970/Q9Y6M9/O96000/O95299/Q9NX14/O43920/P17568"
"GO:0022904" "GO:0022904" "respiratory electron transport chain" 96 -0.734040302578076 -2.63992437156301 1e-10 7.56964285714286e-09 5.81390977443609e-09 1185 "tags=59%, list=13%, signal=52%" "O75208/P00403/P08574/P00414/O14521/O43819/O00483/P14854/Q16854/P47985/P13073/P07919/O95139/P22695/P03923/P21912/P09622/Q16134/O75489/P10606/O14949/P38117/O95168/O43674/Q9H1K1/P20674/O43678/P31930/P56181/O43676/O75251/P14927/O75380/O95167/P56556/O95182/O00217/O95298/O43677/Q9H936/P03897/Q9H3K2/Q9NX18/O75306/O95169/P13804/P28331/Q16795/Q5JTJ3/O43181/Q9UI09/P51970/Q9Y6M9/O96000/O95299/O43920/P17568"
"GO:0019646" "GO:0019646" "aerobic electron transport chain" 74 -0.764389440368991 -2.62955243023812 1e-10 7.56964285714286e-09 5.81390977443609e-09 1251 "tags=66%, list=14%, signal=57%" "O14548/O75208/P00403/P08574/P00414/O14521/O00483/P14854/P47985/P13073/P07919/O95139/P22695/P03923/P21912/P09622/O75489/P10606/O14949/O95168/O43674/Q9H1K1/P20674/O43678/P31930/P56181/O43676/O75251/P14927/O75380/O95167/P56556/O95182/O00217/O95298/O43677/P03897/Q9NX18/O75306/O95169/P28331/Q16795/O43181/P51970/Q9Y6M9/O96000/O95299/O43920/P17568"
"GO:0033108" "GO:0033108" "mitochondrial respiratory chain complex assembly" 85 -0.73863792999311 -2.60658642708332 1e-10 7.56964285714286e-09 5.81390977443609e-09 1022 "tags=54%, list=12%, signal=48%" "Q96I36/O43819/Q9NW81/Q9P032/Q9BSH4/O75880/Q9BU61/P47985/O95139/Q8N4Q1/P03923/O75489/Q5U5X0/Q86Y39/A1L188/O95168/Q00059/O43674/O43678/Q9H061/O43676/Q9P0J0/O75251/O95167/P56556/Q7L592/O00217/O95298/O43677/Q9NX18/Q5TEU4/O75306/O95169/P28331/Q16795/O43181/Q9Y2R0/Q9UI09/P51970/O95831/Q9Y6M9/O96000/O95299/Q9NX14/O43920/P17568"
"GO:0010257" "GO:0010257" "NADH dehydrogenase complex assembly" 55 -0.790101019134644 -2.59302484326499 1e-10 7.56964285714286e-09 5.81390977443609e-09 913 "tags=64%, list=10%, signal=57%" "Q9NW81/Q9P032/Q9BU61/O95139/P03923/O75489/Q86Y39/A1L188/O95168/O43674/O43678/Q9H061/O43676/Q9P0J0/O75251/O95167/P56556/Q7L592/O00217/O95298/O43677/Q5TEU4/O75306/O95169/P28331/Q16795/O43181/Q9UI09/P51970/Q9Y6M9/O96000/O95299/Q9NX14/O43920/P17568"
"GO:0032981" "GO:0032981" "mitochondrial respiratory chain complex I assembly" 55 -0.790101019134644 -2.59302484326499 1e-10 7.56964285714286e-09 5.81390977443609e-09 913 "tags=64%, list=10%, signal=57%" "Q9NW81/Q9P032/Q9BU61/O95139/P03923/O75489/Q86Y39/A1L188/O95168/O43674/O43678/Q9H061/O43676/Q9P0J0/O75251/O95167/P56556/Q7L592/O00217/O95298/O43677/Q5TEU4/O75306/O95169/P28331/Q16795/O43181/Q9UI09/P51970/Q9Y6M9/O96000/O95299/Q9NX14/O43920/P17568"
"GO:0006120" "GO:0006120" "mitochondrial electron transport, NADH to ubiquinone" 42 -0.826834945339132 -2.5917858277521 1e-10 7.56964285714286e-09 5.81390977443609e-09 711 "tags=71%, list=8%, signal=66%" "O95139/P03923/P09622/O75489/O95168/O43674/Q9H1K1/O43678/P56181/O43676/O75251/O75380/O95167/P56556/O95182/O00217/O95298/O43677/P03897/O75306/O95169/P28331/Q16795/O43181/P51970/Q9Y6M9/O96000/O95299/O43920/P17568"
"GO:0015980" "GO:0015980" "energy derivation by oxidation of organic compounds" 225 -0.644125967835215 -2.56856159394019 1e-10 7.56964285714286e-09 5.81390977443609e-09 1213 "tags=46%, list=14%, signal=41%" "Q96HY7/O75208/P56385/P00403/P56381/P08574/P00414/P13807/O14521/Q96LL9/P49840/Q9NZ45/O43819/Q16798/P53597/Q96MF6/O00483/Q9ULD0/P14854/P40926/P21399/Q9BV35/Q16854/P82909/P47985/P06576/P13073/P07919/O95139/O43837/P24539/P34897/P22695/P03923/P21912/P09622/E9PCR7/Q16134/Q13423/O75489/P30049/Q5U5X0/P10606/O14949/P38117/P50213/P36957/Q86Y39/O95168/O75947/P51553/O75323/O43674/P42336/P42345/Q9H1K1/P20674/O43678/P31930/P56181/O43676/Q9P0J0/O75251/P14927/O75380/O95167/P56556/P14735/O95182/O00217/O95298/P25705/O43677/O75390/Q9H936/Q9P2R7/P03897/Q9H3K2/Q8N8R5/Q9NX18/O75306/O95169/P13804/P10515/P62136/P28331/Q16795/Q5JTJ3/O43181/Q9UI09/P51970/Q04656/Q99798/Q9Y6M9/O96000/P07954/O95299/P08559/Q9NX14/Q8TCS8/O43920/P48735/P17568/P11177"
"GO:0006754" "GO:0006754" "ATP biosynthetic process" 75 -0.745629720965204 -2.5654548935384 1e-10 7.56964285714286e-09 5.81390977443609e-09 1173 "tags=60%, list=13%, signal=52%" "P56385/P56381/Q9Y2B5/O14521/Q96LL9/Q96IX5/P06576/O95139/P24539/P03923/P21912/O75489/P30049/Q86Y39/O95168/O75947/O43674/O43678/P56181/O43676/Q9P0J0/O75251/O75380/O95167/P56556/O95182/O00217/O95298/P25705/O43677/P03897/P38606/O75306/O95169/P28331/Q16795/O43181/Q9UI09/P51970/Q9Y6M9/O96000/O95299/Q9NX14/O43920/P17568"
"GO:0009145" "GO:0009145" "purine nucleoside triphosphate biosynthetic process" 80 -0.732927687332711 -2.55107411724627 1e-10 7.56964285714286e-09 5.81390977443609e-09 1173 "tags=57%, list=13%, signal=50%" "P56385/P56381/Q9Y2B5/O14521/Q96LL9/Q13232/Q96IX5/P06576/O95139/P24539/P03923/P21912/O75489/P30049/Q86Y39/O95168/O75947/O43674/O43678/P56181/O43676/Q9P0J0/O75251/O75380/O95167/P56556/O95182/O00217/O95298/P25705/O43677/P03897/P38606/O75306/O95169/P28331/Q16795/O43181/Q9UI09/P51970/Q9Y6M9/O96000/O95299/Q9NX14/O43920/P17568"
"GO:0009206" "GO:0009206" "purine ribonucleoside triphosphate biosynthetic process" 79 -0.733951759964371 -2.54342353233876 1e-10 7.56964285714286e-09 5.81390977443609e-09 1173 "tags=58%, list=13%, signal=51%" "P56385/P56381/Q9Y2B5/O14521/Q96LL9/Q13232/Q96IX5/P06576/O95139/P24539/P03923/P21912/O75489/P30049/Q86Y39/O95168/O75947/O43674/O43678/P56181/O43676/Q9P0J0/O75251/O75380/O95167/P56556/O95182/O00217/O95298/P25705/O43677/P03897/P38606/O75306/O95169/P28331/Q16795/O43181/Q9UI09/P51970/Q9Y6M9/O96000/O95299/Q9NX14/O43920/P17568"
