"protein_id" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"1951" "NRN1|A0A087WWT2" -0.183192624853954 -0.0674166788035596 -8.4690298820294 9.50288691607404e-16 8.37394395044444e-12 25.1848515456898
"4478" "PAFAH1B3|Q15102" 0.124586791806154 0.167923692132825 7.90297705385971 4.58684731217365e-14 2.02096492574371e-10 21.4197991391979
"3164" "PLEC|Q15149" 0.104333984064293 -0.04161529870563 7.73855842899883 1.36987210163674e-13 4.023770986541e-10 20.3583169566915
"4295" "RPH3A|Q9Y2J0" -0.120163023413455 -0.30922714022786 -7.34814960317094 1.73201643453888e-12 3.089878508799e-09 17.8991165661497
"8578" "SLC4A10|Q6U841" -0.173425619798349 -0.635018301612933 -7.33450841207824 1.88956948490085e-12 3.089878508799e-09 17.814792080215
"189" "PLCL2|Q9UPR0" -0.0678903239024738 -0.0012443782062831 -7.30168727354598 2.32885527495972e-12 3.089878508799e-09 17.6123570272826
"3370" "PLXNB1|O43157" 0.0821586889110831 0.154611132556312 7.29342017392276 2.454510844484e-12 3.089878508799e-09 17.5614680121341
"1716" "AAMP|C9JG97" 0.0851181478151664 0.282909612385938 7.22443270321565 3.7995275938851e-12 4.18517964466443e-09 17.1384011887428
"8069" "PPEF1|O14829" -0.176576913893486 -0.0751237698902672 -7.16372875474815 5.56789718514822e-12 5.45158999950291e-09 16.7685011277224
"4874" "DIRAS1|O95057" -0.0854829765084935 0.0250973326722121 -7.14118437097588 6.41331084577869e-12 5.65140951730018e-09 16.6316951216561
"4" "PDHX|O00330" -0.0734037250647595 0.0144333644273814 -7.12235490469775 7.21531693188532e-12 5.68869702745099e-09 16.5176693677899
"2650" "LRRC75A|Q8NAA5" -0.0838546612113351 -0.072490084409146 -7.11098169814509 7.74675037782704e-12 5.68869702745099e-09 16.4489013083547
"2297" "PLCB1|Q9NQ66" -0.0899937045382043 -0.0876201622468929 -7.05678716465355 1.08573412263446e-11 7.359606991273e-09 16.1223020506806
"1766" "PDHA1|P08559" -0.0723942157548699 -0.151521823662561 -7.00371054840401 1.5085205227445e-11 9.4950591760175e-09 15.8041920958617
"2893" "TUFM|P49411" -0.0665493353265719 -0.034208586393793 -6.95545815336026 2.03117358012507e-11 1.18480125316198e-08 15.5165108362715
"1486" "HSPB1|P04792" 0.230799418791471 0.166275160942256 6.94611517248769 2.1512505731493e-11 1.18480125316198e-08 15.4609754604575
"1435" "SLC25A46|Q96AG3" -0.0686370202403941 -0.0408351765240711 -6.9339335752335 2.31834675368757e-11 1.20172185844088e-08 15.3886490377776
"6622" "FBXO41|Q8TF61" -0.0813144014532179 -0.278573088421272 -6.89177995072204 3.00117468220982e-11 1.34754315043382e-08 15.1390855800708
"7235" "C19orf26|Q8N350" -0.136507591240105 -0.0528308415660742 -6.89176091018643 3.00152390612099e-11 1.34754315043382e-08 15.1389731058897
"4215" "LRPPRC|P42704" -0.112190863007881 -0.170592801534383 -6.8886871271958 3.05842748623199e-11 1.34754315043382e-08 15.1208189799748
"3102" "SPOCK3|Q9BQ16" 0.170148195349212 0.379616853842917 6.86432939149385 3.54847706873355e-11 1.48900856808e-08 14.977169759556
"2584" "GRIA3|P42263" -0.063107439737393 -0.0903984756039232 -6.85219084952658 3.82073698518852e-11 1.53037883243096e-08 14.9057227413171
"4939" "SYT12|Q8IV01" -0.113926901593602 -0.531249454231203 -6.84379617287201 4.02093272338825e-11 1.54054170254336e-08 14.8563664672542
"4457" "GK|P32189-1" -0.0686039203673852 0.135741557501157 -6.8094803180022 4.95215321412975e-11 1.81826558845464e-08 14.6550717376967
"1011" "GPR56|Q9Y653" 0.180701031688832 0.43130201856067 6.79387236118365 5.44296375642957e-11 1.91853586486629e-08 14.563763929234
"2029" "DBT|P11182" -0.0690325016646516 -0.0534290830443378 -6.7450155767856 7.30928215149998e-11 2.4772843968853e-08 14.2789525138941
"2536" "RPS6KA5|O75582" 0.152338629243271 0.00625109805652451 6.72218478366038 8.38461412519286e-11 2.73648961745183e-08 14.1463840942957
"4554" "PTRHD1|Q6GMV3" 0.09734732956624 0.255540340241257 6.71241594308028 8.89087468978768e-11 2.79808527737175e-08 14.0897630370482
"5761" "CLCN3|P51790" 0.053424218452497 0.150345463383362 6.70503685621545 9.29308330767166e-11 2.82098164684011e-08 14.0470339275307
"4189" "SYNGAP1|Q96PV0" -0.0733172562420593 0.0759261023120616 -6.69954653585078 9.60388667784876e-11 2.82098164684011e-08 14.015264612915
"1587" "TMEM30A|Q9NV96" 0.0994006681366437 0.163938474260834 6.67891966517518 1.08654804753612e-10 3.08860044996397e-08 13.8960826160093
"7562" "RNMT|O43148" -0.0819122725915968 -0.235611232098476 -6.63207487494081 1.43662725357649e-10 3.95611229953625e-08 13.6264363759089
"2373" "CRK|P46108" 0.0476574844944664 0.182018641126759 6.61680607013956 1.57306911217783e-10 4.20057121712456e-08 13.5388546232409
"3273" "KALRN|H7BXZ5" -0.0599982002041733 -0.210510368343676 -6.61104703937536 1.62777011561329e-10 4.21879713493655e-08 13.5058603013357
"1349" "AHCYL1|O43865" -0.0900846541999424 0.0241870734596994 -6.5942251091745 1.79846743048777e-10 4.52802714213093e-08 13.4096089210783
"481" "DLG3|Q5JUW8" -0.0433862341732841 0.0179826041215213 -6.58727982171429 1.87396189503552e-10 4.58704228307029e-08 13.3699234220714
"6284" "IDH2|P48735" -0.0878553584187161 -0.383524793007004 -6.58153079978746 1.93879910316239e-10 4.61748586407216e-08 13.3370972681324
"5899" "VGF|O15240" -0.216580903004478 -0.285684782252037 -6.57584303503394 2.0051107247133e-10 4.64974623846673e-08 13.3046421699074
"5946" "GAD2|Q05329" -0.117692801881019 -0.202064570181227 -6.56114937855754 2.18689575415494e-10 4.94126291938804e-08 13.2208964255171
"5091" "SST|P61278" -0.227392534499533 0.391076250808171 -6.54727557227584 2.37333614644015e-10 5.15875585627138e-08 13.1419533889193
"7485" "CD109|Q6YHK3" 0.158807101836925 -0.166483886862089 6.54959094417857 2.40023819912763e-10 5.15875585627138e-08 13.1372770310912
"6818" "PCM1|Q15154" -0.0663984882036082 0.0401943440211795 -6.51223173752714 2.91652904989399e-10 6.11915571134901e-08 12.9431150612847
"3817" "KIAA1549L|Q6ZVL6" -0.0786475975042418 -0.0263598207680214 -6.48148879119861 3.49223077831769e-10 7.15663665547337e-08 12.7693472982631
"1109" "RASAL2|Q9UJF2-2" -0.0484834198511428 -0.0779308422951961 -6.46855092027493 3.7665877704867e-10 7.54344805307473e-08 12.6964059041393
"1520" "RPS6KA2|Q15349-2" 0.0700598738884519 0.0646110003500052 6.45710213337686 4.02692317133958e-10 7.88561044129876e-08 12.6319523330019
"1476" "FARSB|Q9NSD9" -0.0821787467874877 -0.417462361547413 -6.43694660937237 4.52878444481289e-10 8.67557576688938e-08 12.5186939220071
"3814" "NDUFB7|P17568" -0.125243767293066 0.142581520756397 -6.42429016157404 4.87475380204738e-10 9.13964478800883e-08 12.4477127870067
"368" "GRM3|Q14832" -0.0811070815504546 0.14444171216122 -6.41161547183101 5.2471567893187e-10 9.63290533905758e-08 12.3767364537141
"8261" "CDH10|Q9Y6N8" -0.0733539421727453 -0.416883757949364 -6.3930790198128 5.84250158424118e-10 1.05069640735374e-07 12.2731284903994
"8759" "OSBPL8|Q9BZF1" -0.0546244472594917 -0.454945506222649 -6.38589841106607 6.09050372747353e-10 1.07339037692993e-07 12.2330548820293
"2796" "DGKG|P49619" 0.107055479870408 -0.200046956043606 6.3625161123582 6.9717453484038e-10 1.20460823549283e-07 12.1028024005
"4266" "MFN2|O95140" -0.0462488874686244 0.0112485072813112 -6.33349190213312 8.24085634536517e-10 1.33156629484796e-07 11.9416326627067
"2073" "RASA2|A0A0A0MSJ9" -0.0617573862835832 -0.117889516243442 -6.33299785896549 8.26430906586981e-10 1.33156629484796e-07 11.9388941829367
"2480" "GABRA1|P14867" -0.0694296386360802 -0.157818296397132 -6.33216515472549 8.3039864747798e-10 1.33156629484796e-07 11.9342788785208
"6583" "PRDX1|Q06830" 0.0737108222149221 0.125072064335516 6.3309445071169 8.36248653739853e-10 1.33156629484796e-07 11.9275142243056
"5348" "ITSN2|Q9NZM3" -0.0455749872594412 -0.113286122749302 -6.32791684486158 8.50933728973438e-10 1.33156629484796e-07 11.9107396935498
"303" "ATAD1|Q8NBU5" -0.0761428880194318 -0.118249920996455 -6.32580678429675 8.61317281052356e-10 1.33156629484796e-07 11.8990527233277
"3974" "SLC4A10|C9J240" -0.232196275748149 -0.0487826710708547 -6.34206533039905 9.16282279139002e-10 1.36852193962252e-07 11.8742187583918
"3883" "ADRBK1|P25098" -0.0614424356513718 -0.194870366935455 -6.31726239296408 9.04648188640112e-10 1.36852193962252e-07 11.8517587332769
"1740" "GSK3B|P49841-2" -0.0596550639997798 0.178383228123962 -6.27570363435293 1.14778303945902e-09 1.68571069061881e-07 11.6224317613639
"6230" "SEPT7|Q16181" -0.0885800360319716 0.434967181623653 -6.25940112038606 1.25972797296572e-09 1.81979063897933e-07 11.5327922614243
"7420" "ROCK1|Q13464" 0.0661000953783465 0.183154220296249 6.2420482752603 1.39063422387341e-09 1.97649496464072e-07 11.4375762343159
"804" "GPC4|O75487" 0.114763141351154 0.135482715721406 6.23730976921609 1.42863793193489e-09 1.99827896130322e-07 11.4116114619441
"3247" "CNST|Q6PJW8" 0.0824895814864659 0.295949408987373 6.22510085797048 1.53130374195523e-09 2.1084138397046e-07 11.3447830098551
"2868" "MAP2K6|P52564" 0.0707540833078592 0.193132851792189 6.21898193716843 1.585441769265e-09 2.14937121088665e-07 11.3113279099764
"4675" "CACNG3|O60359" -0.0839139975458775 0.161868651118811 -6.20020218895501 1.76356710590522e-09 2.31913985582078e-07 11.2088098854212
"6949" "KIAA1045|Q9UPV7" -0.0639418436533072 0.0559260486224744 -6.19917437497069 1.77386195982468e-09 2.31913985582078e-07 11.2032060537164
"516" "DBI|B8ZWD1" 0.124244581684641 -0.0177959500277064 6.19761216598979 1.78962222192253e-09 2.31913985582078e-07 11.1946899883573
"3612" "GNG12|Q9UBI6" 0.109032273186421 -0.520938459093297 6.19463967625552 1.8199894963623e-09 2.32431122347023e-07 11.1784906838101
"5442" "FBXL16|Q8N461" -0.0775182641467801 -0.00886101646310188 -6.18785440159123 1.89121107123178e-09 2.38076456567064e-07 11.1415353862653
"8172" "OLFM3|Q96PB7" -0.0855156088860152 -0.149193143472589 -6.17869615025813 1.99168224449193e-09 2.47193013217787e-07 11.0917060243851
"205" "SGTB|Q96EQ0" -0.0726429942775037 -0.0912908441649208 -6.17573078571666 2.0253199351324e-09 2.47876656505371e-07 11.0755840436601
"4496" "DLGAP4|Q9Y2H0" -0.0605428279150925 -0.0591457171533882 -6.16793565392518 2.11641880142329e-09 2.55477842166329e-07 11.0332325972692
"5676" "TIMM13|Q9Y5L4" -0.0838092841932715 -0.115067853969267 -6.15213733968256 2.31351792366493e-09 2.75496215450477e-07 10.9475275901787
"2289" "CHGA|P10645" 0.177569372521544 -0.11527663391893 6.12023285328882 2.76786724765826e-09 3.25205949151528e-07 10.7749722052875
"7194" "SGIP1|Q9BQI5" -0.0563221087818293 0.00914405420788737 -6.11298939927085 2.88259280077912e-09 3.3422904947981e-07 10.7358939688291
"3736" "AK1|P00568" 0.0729418534514026 -0.132676581389881 6.10784638715456 2.96686167657664e-09 3.39532273947966e-07 10.7081696075901
"1089" "FAM73A|Q8NAN2" -0.0894693724641157 -0.15425433880215 -6.10018836466892 3.09682285766493e-09 3.49861577201838e-07 10.6669215719007
"7103" "SLIRP|Q9GZT3" -0.0942491234014565 -0.0475064713458925 -6.0952944209599 3.18277551989996e-09 3.53707045793371e-07 10.6405828519091
"5959" "RASGRF1|Q13972" -0.0910180709723832 -0.211200046865875 -6.09370776445691 3.21113977116088e-09 3.53707045793371e-07 10.6320471898603
"2609" "GPNMB|Q14956" 0.314038557618118 0.145184745818305 6.09005792783381 3.34077348945839e-09 3.60285847098811e-07 10.6005655545675
"6208" "SPOCK1|Q08629" 0.101075531045698 -0.147531529040424 6.09059627883268 3.35263725171386e-09 3.60285847098811e-07 10.5982758103764
