"protein_id" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"2328" "OSBPL3|Q9H4L5" -0.0531657399066446 -0.149862098544518 -4.10163439770341 5.22535619013851e-05 0.189551579534118 1.44368706075381
"1487" "PRKAR1B|P31321" -0.047878658509374 -0.204817685707973 -4.06380155106533 6.09925101695286e-05 0.189551579534118 1.29912883526804
"8490" "MFF|A0A0A0MS29" -0.0644588961721891 -0.0443205461750649 -4.01676499626841 7.38032340244762e-05 0.189551579534118 1.12108365200103
"4071" "PPM1E|Q8WY54" -0.0365937365639536 -0.00173900126263274 -3.91052843435379 0.000112776451833976 0.189551579534118 0.725838528048143
"1859" "GCDH|Q92947" -0.0869139914673117 -0.0550279328590904 -3.88951049287216 0.000122511575692979 0.189551579534118 0.64877908726092
"4874" "DIRAS1|O95057" -0.0482009094993956 0.0250973326722121 -3.84581327141547 0.000145356976410895 0.189551579534118 0.489775592630072
"6611" "PDHB|P11177" -0.0472859124300843 -0.411697992555362 -3.82821658754403 0.000155649673841863 0.189551579534118 0.426206652974848
"2616" "SAT2|Q96F10" 0.153435123681454 -0.230340265569017 3.8022794681434 0.000172084956454033 0.189551579534118 0.332991191977079
"3814" "NDUFB7|P17568" -0.0750821215152172 0.142581520756397 -3.67830647764723 0.000275932667405586 0.212453367653282 -0.104561318904829
"6284" "IDH2|P48735" -0.0510959198504515 -0.383524793007004 -3.65584046786897 0.00030017575866461 0.212453367653282 -0.18243227963748
"3879" "EMILIN2|Q9BXX0" 0.0926590753306881 -0.364947787240478 3.65058638682457 0.000306127725541241 0.212453367653282 -0.200580674552479
"2811" "SCPEP1|Q9HB40" 0.0508007538656136 0.239552488781742 3.64605972380523 0.000311344518044971 0.212453367653282 -0.216197251122163
"1218" "VEZF1|J3QSH4" 0.0700935743108073 -0.113398241954789 3.61362522576946 0.000367613483572423 0.212453367653282 -0.271992979327752
"3370" "PLXNB1|O43157" 0.0425108240700098 0.154611132556312 3.60428901707593 0.000363590392306535 0.212453367653282 -0.359462489880221
"62" "CCDC158|Q5M9N0" 0.143963303151626 -0.59286836501664 3.5491221428144 0.000506300581107458 0.212453367653282 -0.416797711317792
"7086" "ZC3H12B|Q5HYM0" 0.103201411068827 -0.0402287181723309 3.55002959478719 0.00049241756823399 0.212453367653282 -0.419193132054787
"5387" "ERLIN2|O94905" 0.0410624329094833 -0.0492480834504925 3.56118721162782 0.000426062620753303 0.212453367653282 -0.505701063920887
"1109" "RASAL2|Q9UJF2-2" -0.0279223505742417 -0.0779308422951961 -3.55801751564622 0.000431033554809264 0.212453367653282 -0.51639145228183
"7161" "MTSS1|O43312" 0.0652983793977233 0.197443166444016 3.54043408546564 0.000462534989670118 0.212453367653282 -0.567613228474729
"7569" "PDK3|Q15120" -0.0401662621179145 -0.124441031976647 -3.53968663504898 0.000460864945586832 0.212453367653282 -0.578043625084031
"3559" "IARS2|Q9NSE4" -0.0286521942083079 -0.0648623122458069 -3.5371546116378 0.000465134492239823 0.212453367653282 -0.586536485633189
"7994" "TMEM248|Q9NWD8" -0.0777341432902227 0.19902290913206 -3.48498510711813 0.000616204472997396 0.22863222809516 -0.647601213908257
"727" "AMFR|Q9UKV5" 0.0561989530380687 0.0586344053661068 3.47663610106562 0.000590042291088593 0.22863222809516 -0.750331910174244
"5866" "NDUFS5|O43920" -0.0637135513921117 -0.297596650375576 -3.4562840069546 0.000622693313014509 0.22863222809516 -0.854836968168135
"2317" "MARK1|Q9P0L2" -0.0263281755378612 -0.00477476492056491 -3.43167075971714 0.000679775543434277 0.239607283549714 -0.935355303270202
"807" "GPR123|Q86SQ6-1" -0.0443761474096987 -0.283195089823083 -3.37054635358332 0.000843359416660953 0.263935792700823 -1.13300486595126
"4752" "C2orf47|Q8WWC4" -0.0284774259361827 -0.00868407024377616 -3.36868131908797 0.000848884846894908 0.263935792700823 -1.13898370694898
"5673" "RDH13|Q8NBN7" -0.0674762434510314 -0.00292871419120532 -3.34919923066024 0.0009086548746225 0.263935792700823 -1.20125454925598
"5755" "SUPV3L1|Q8IYB8" -0.0323493462397875 -0.101192353265322 -3.34337319497896 0.000927276084086218 0.263935792700823 -1.21981113147583
"4450" "SEPT5|Q99719" -0.0404354876803785 -0.347108694588334 -3.3310029130631 0.000967998003107029 0.263935792700823 -1.25911218825562
"2577" "OLFML3|Q9NRN5" 0.182653016232123 -0.179724443967514 3.30450187214593 0.00106090013670433 0.263935792700823 -1.34285077447839
"5108" "JUP|P14923" 0.0922468435483216 0.333848170806825 3.29609036869156 0.00109207828787511 0.263935792700823 -1.36929931900654
"6469" "ARHGAP17|Q68EM7" 0.0563749446143756 0.0373807251147375 3.29125364229746 0.00111264998762137 0.263935792700823 -1.37687657666118
"1781" "HSPE1-MOB4|S4R3N1" -0.0329770295349188 -0.314526351663916 -3.29211158357627 0.00110712081778986 0.263935792700823 -1.38178803938677
"2199" "IQGAP2|Q13576" 0.0978779410709253 -0.0824366303666637 3.2485352552696 0.00132614810688345 0.263935792700823 -1.42924583656681
"7284" "HSPD1|P10809" -0.0329490502277307 -0.191166976008205 -3.25636593434295 0.00125116090701181 0.263935792700823 -1.49335620386625
"300" "FAM134A|Q8NC44" -0.0432609238467134 -0.6027744246629 -3.24474914591614 0.00130159414915433 0.263935792700823 -1.52936928883064
"8126" "OPA3|Q9H6K4" -0.0414329889984507 -0.104966072684005 -3.23981833473807 0.00132356541781673 0.263935792700823 -1.54461889373287
"4" "PDHX|O00330" -0.0348301690364651 0.0144333644273814 -3.22777641360018 0.0013786765126619 0.263935792700823 -1.58177003952306
"5113" "FAM49A|Q9H0Q0" -0.041285516689482 -0.0558815797205258 -3.22510866669709 0.00139117002566561 0.263935792700823 -1.58998294121356
"4236" "MBNL1|A0A0A0MQX8" 0.0340005007837893 -0.0342882006912489 3.20379117432964 0.0014948365617878 0.263935792700823 -1.65538258732288
"36" "PEX5L|Q8IYB4-2" -0.0277685569900148 -0.06026661876706 -3.19723885128084 0.00152810940633531 0.263935792700823 -1.67540281985631
"187" "RNF214|Q8ND24" -0.018683541522435 0.0574676057106311 -3.19635584373889 0.00153264537958731 0.263935792700823 -1.67809786305278
"2373" "CRK|P46108" 0.0240908874577183 0.182018641126759 3.19457023312053 0.00154185608593856 0.263935792700823 -1.68354562767681
"2819" "PNPT1|Q8TCS8" -0.0248531176017154 0.000744228907955126 -3.19437702798696 0.00154285575995822 0.263935792700823 -1.68413491123078
"7420" "ROCK1|Q13464" 0.0354118255242432 0.183154220296249 3.19385873700204 0.00154554044295482 0.263935792700823 -1.68571555509078
"1225" "CMC1|Q7Z7K0" -0.0691241321391004 -0.407715145231995 -3.19149675233417 0.00155783005516532 0.263935792700823 -1.69291591267073
"3387" "TIMM22|Q9Y584" -0.0569387061234242 -0.159494847825261 -3.17840714245136 0.00164584016535311 0.263935792700823 -1.69705461078415
"3787" "NDUFB11|Q9NX14" -0.0393685993837606 -0.0374762787755542 -3.1892359031241 0.00156967808304725 0.263935792700823 -1.6998032929918
"6360" "RAPGEF2|H0Y905" -0.0411704622104482 -0.317922213524908 -3.17475430201072 0.0016475680093273 0.263935792700823 -1.74381115694427
"236" "STK11IP|Q8N1F8" 0.0418099262257447 0.148733513000876 3.16230996869202 0.00173257437311674 0.263935792700823 -1.75490769326507
"1766" "PDHA1|P08559" -0.0342762399132149 -0.151521823662561 -3.1670859245616 0.00169024524446494 0.263935792700823 -1.76703844363385
"3802" "NDUFA10|O95299" -0.0486326490482805 -0.328495355934949 -3.1573478271221 0.00174591374810294 0.263935792700823 -1.79645895670469
"804" "GPC4|O75487" 0.0607480094867266 0.135482715721406 3.15332902869452 0.00176937739065662 0.263935792700823 -1.80857569257318
"3267" "PAK1|Q13153" -0.0362223217625787 -0.186239908496652 -3.14804961822565 0.00180064378341691 0.263935792700823 -1.82447119526172
"2353" "PADI2|Q9Y2J8" 0.0860949857239776 -0.213077200111429 3.14765823407496 0.00180298188354845 0.263935792700823 -1.82564859873011
"7072" "KLHL3|Q9UH77" -0.0575441362416618 -0.0185962041873292 -3.13626797629477 0.00188346249496245 0.263935792700823 -1.84246649173327
"572" "MYO5A|Q9Y4I1-2" -0.0225296322029686 -0.103836548308616 -3.13640317031894 0.00187143030556623 0.263935792700823 -1.85944851045953
"7156" "NFS1|Q9Y697" -0.0345713346064031 -0.10307384176693 -3.12805194669936 0.00192376024022888 0.263935792700823 -1.88445450448185
