"chr" "pos" "strand" "Name" "Islands_Name" "Relation_to_Island" "UCSC_RefGene_Name" "UCSC_RefGene_Accession" "UCSC_RefGene_Group" "Regulatory_Feature_Name" "Regulatory_Feature_Group" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"cg03689181" "chr4" 6927859 "-" "cg03689181" "chr4:6925211-6925591" "S_Shelf" "TBC1D14;TBC1D14" "NM_001113361;NM_020773" "Body;Body" "" "" 0.509670103995246 5.36820656489353 4.59601453410511 5.0867819124955e-06 0.00871694880262943 3.79557008400382
"cg18858717" "chr14" 90863402 "-" "cg18858717" "chr14:90863043-90864903" "Island" "CALM1;CALM1;CALM1" "NM_006888;NM_006888;NM_001166106" "1stExon;5'UTR;TSS1500" "14:90862542-90863840" "Promoter_Associated" -1.8810919117653 -11.0133831806925 -4.40616909206185 1.21259310915539e-05 0.0110480334162627 3.0112929365522
"cg19150666" "chr1" 67391091 "+" "cg19150666" "chr1:67390468-67391109" "Island" "MIER1;WDR78;MIER1;MIER1;MIER1;MIER1;MIER1;MIER1;WDR78;MIER1" "NM_020948;NM_024763;NM_001077702;NM_001146111;NM_001146113;NM_001077703;NM_001146112;NM_001077700;NM_207014;NM_001146110" "5'UTR;TSS1500;5'UTR;5'UTR;5'UTR;Body;5'UTR;Body;TSS1500;5'UTR" "1:67389656-67391637" "Promoter_Associated" 0.766552004172167 -4.49921981592819 4.23969396947593 2.53045384482165e-05 0.0140731615152549 2.34929151682658
"cg13996405" "chr13" 36920771 "-" "cg13996405" "chr13:36919737-36921004" "Island" "SPG20;SPG20;SPG20;SPG20;SPG20" "NM_001142296;NM_001142294;NM_001142295;NM_001142295;NM_015087" "TSS200;5'UTR;1stExon;5'UTR;TSS200" "13:36920600-36921737" "Promoter_Associated" 0.735582049960744 -6.61092539592899 4.21696520161847 2.7924962990905e-05 0.0144154255984904 2.26078315238823
"cg11243683" "chr1" 202183605 "-" "cg11243683" "chr1:202183193-202183526" "S_Shore" "LGR6;LGR6;LGR6" "NM_021636;NM_001017404;NM_001017403" "Body;Body;Body" "1:202183398-202183614" "Unclassified_Cell_type_specific" 0.849742947739093 -6.68387739787042 4.17560492828536 3.33700962429289e-05 0.0151655529723772 2.10088030588759
"cg07026454" "chr8" 145582391 "-" "cg07026454" "chr8:145581331-145582765" "Island" "GPR172A;FBXL6;GPR172A;FBXL6" "NM_024531;NM_012162;NM_024531;NM_024555" "5'UTR;TSS1500;1stExon;TSS1500" "" "" -1.48910210904737 -9.54956310072331 -4.16253376626074 3.52915310453122e-05 0.0155392624150875 2.05065721636523
"cg12934934" "chr4" 113445388 "+" "cg12934934" "chr4:113444181-113444389" "S_Shore" "" "" "" "4:113444031-113445964" "Promoter_Associated" 0.510015315411689 -3.35579495256077 4.10145906985143 4.57511334687658e-05 0.0170987221635761 1.81797514552503
"cg12146546" "chr17" 6616883 "+" "cg12146546" "chr17:6616422-6617471" "Island" "SLC13A5;SLC13A5" "NM_001143838;NM_177550" "TSS200;TSS200" "17:6616304-6617302" "Unclassified" 0.637170904763912 -6.21872768302112 4.02438010932534 6.31865246346764e-05 0.0192711777614349 1.52899436575869
"cg12634932" "chr5" 43397230 "-" "cg12634932" "chr5:43396897-43397364" "Island" "CCL28" "NM_148672" "Body" "5:43396732-43397838" "Unclassified_Cell_type_specific" 0.624877797111569 -5.54521624525359 4.00552216164572 6.83254529296147e-05 0.0198292896333054 1.45908866800474
"cg01509237" "chr8" 63160509 "-" "cg01509237" "chr8:63160598-63162064" "N_Shore" "NKAIN3" "NM_173688" "TSS1500" "" "" 0.788565842656811 -4.59532935356303 4.00461989443127 6.85810013793896e-05 0.0198292896333054 1.45575184729422
