"chr" "pos" "strand" "Name" "Islands_Name" "Relation_to_Island" "UCSC_RefGene_Name" "UCSC_RefGene_Accession" "UCSC_RefGene_Group" "Regulatory_Feature_Name" "Regulatory_Feature_Group" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"cg23968456" "chr10" 73521631 "-" "cg23968456" "" "OpenSea" "CDH23;C10orf54" "NM_022124;NM_022153" "Body;Body" "" "" 0.793411555512225 5.39617386490425 8.28154813653802 5.93134583414816e-16 2.45755231350011e-10 25.3058622383843
"cg03169557" "chr16" 89598950 "+" "cg03169557" "" "OpenSea" "SPG7;SPG7" "NM_003119;NM_199367" "Body;Body" "16:89598805-89599216" "Unclassified_Cell_type_specific" 0.779987290029656 5.43183962710905 7.37572995996626 4.51828226795057e-13 1.78609609693672e-08 19.0195186658008
"cg05810363" "chr17" 74475270 "-" "cg05810363" "chr17:74475239-74475452" "Island" "RHBDF2;RHBDF2" "NM_001005498;NM_024599" "Body;Body" "" "" 0.653270741995561 4.19677417372803 7.28209969791418 8.65429776830114e-13 2.75827781325655e-08 18.4048574159733
"cg03689181" "chr4" 6927859 "-" "cg03689181" "chr4:6925211-6925591" "S_Shelf" "TBC1D14;TBC1D14" "NM_001113361;NM_020773" "Body;Body" "" "" 0.710713388321262 5.36820656489353 7.01973286396472 5.15456386493122e-12 8.54282363939419e-08 16.718496330425
"cg22883290" "chr2" 127800646 "+" "cg22883290" "" "OpenSea" "" "" "" "" "" 0.644637027780834 5.22051063220763 6.87350966576016 1.3607711614127e-11 1.61386824650818e-07 15.8019233034774
"cg12309456" "chr17" 74475402 "-" "cg12309456" "chr17:74475239-74475452" "Island" "RHBDF2;RHBDF2" "NM_001005498;NM_024599" "Body;Body" "" "" 0.530377473132533 4.20087974366188 6.74927933590368 3.06277799880997e-11 2.53801999316186e-07 15.0364374140181
"cg19803550" "chr17" 1637391 "+" "cg19803550" "chr17:1637053-1637492" "Island" "WDR81;WDR81;WDR81;WDR81" "NM_001163673;NM_152348;NM_001163811;NM_001163809" "Body;Body;Body;Body" "" "" 0.638571757134478 5.26787821324637 6.43331371778853 2.2790786360493e-10 9.25781851480602e-07 13.144899652999
"cg26102082" "chr17" 47590272 "+" "cg26102082" "chr17:47590142-47590415" "Island" "NGFR" "NM_002507" "Body" "" "" 0.630952741885138 5.30394291697185 5.86740970959009 6.75601818710993e-09 6.57098892845028e-06 9.95957722100449
"cg00921266" "chr7" 27153663 "-" "cg00921266" "chr7:27154999-27155426" "N_Shore" "HOXA3;HOXA3;HOXA3" "NM_153631;NM_030661;NM_153632" "5'UTR;5'UTR;TSS200" "" "" 0.535187979982127 -2.93433015976492 5.35253938960201 1.16781439549411e-07 3.59750217047033e-05 7.2928490557413
"cg05404236" "chr13" 110437093 "-" "cg05404236" "chr13:110434466-110440180" "Island" "IRS2" "NM_003749" "1stExon" "13:110436998-110437292" "Promoter_Associated_Cell_type_specific" 0.685190579740473 -4.63478420735979 5.30875250609161 1.47266229533534e-07 4.13956978842047e-05 7.07641724736068
"cg18816487" "chr3" 58319104 "-" "cg18816487" "chr3:58318398-58319192" "Island" "PXK" "NM_017771" "Body" "3:58317740-58319708" "Promoter_Associated" -1.8467243699343 -9.81553371146869 -4.82015032855813 1.7512982082835e-06 0.000205733099101993 4.77326277419503
"cg11532431" "chr7" 27169674 "+" "cg11532431" "chr7:27169572-27170638" "Island" "HOXA4" "NM_002141" "Body" "7:27169589-27169678" "Unclassified_Cell_type_specific" 0.501642831729684 -3.93620579815778 4.70185916136062 3.09127357887681e-06 0.00030257894064653 4.24684911385215
"cg07724977" "chr11" 35441198 "+" "cg07724977" "chr11:35440375-35441882" "Island" "SLC1A2" "NM_004171" "TSS200" "11:35441073-35441336" "Unclassified_Cell_type_specific" -1.61037041079046 -8.77662133436325 -4.53645209235632 6.70332159661064e-06 0.000509481746398579 3.53136452499254
"cg14238081" "chr14" 65438743 "+" "cg14238081" "chr14:65438412-65439363" "Island" "RAB15" "NM_198686" "1stExon" "14:65438018-65439586" "Unclassified" -1.32836844431062 -9.08055875014966 -4.52456064791147 7.08035591704413e-06 0.000530588733618493 3.48085619121552
"cg11889876" "chr6" 109169469 "+" "cg11889876" "chr6:109169468-109170103" "Island" "ARMC2" "NM_032131" "TSS200" "6:109169093-109170452" "Promoter_Associated" -1.61973527365368 -11.0193838349086 -4.34532985947862 1.59112195009978e-05 0.000926161745257016 2.73475057977459
"cg00296189" "chr8" 141520896 "+" "cg00296189" "chr8:141520869-141522460" "Island" "CHRAC1;CHRAC1" "NR_023360;NM_017444" "TSS1500;TSS1500" "8:141520513-141522364" "Promoter_Associated" -1.37697373282651 -7.30204170029889 -4.33765709561971 1.64620136617274e-05 0.000948397993846272 2.70344686892465
"cg02701443" "chr2" 190648932 "+" "cg02701443" "chr2:190648566-190649484" "Island" "PMS1;PMS1;PMS1;PMS1;ORMDL1;ORMDL1;PMS1;PMS1" "NM_001128144;NM_001128144;NM_001128143;NM_000534;NM_001128150;NM_016467;NM_000534;NM_001128143" "5'UTR;1stExon;1stExon;5'UTR;5'UTR;5'UTR;1stExon;5'UTR" "2:190648043-190649816" "Promoter_Associated" -1.455537935547 -8.73697301791998 -4.2746739390687 2.17245082397295e-05 0.00114898910805359 2.44846691288097
"cg21203925" "chr19" 18682463 "-" "cg21203925" "chr19:18682374-18683034" "Island" "UBA52;UBA52" "NM_001033930;NM_003333" "TSS200;TSS200" "19:18682117-18683064" "Promoter_Associated" -1.62001431966115 -10.6736530566014 -4.26259766546452 2.29020442591854e-05 0.00119082570033223 2.39998160109262
"cg25147866" "chr1" 180992098 "+" "cg25147866" "chr1:180991719-180992149" "Island" "STX6" "NM_005819" "TSS200" "1:180991866-180992475" "Promoter_Associated" -1.75615109640408 -10.2065599063836 -4.24914516509955 2.42853926621165e-05 0.001241544822845 2.34612410334457
"cg07227350" "chr6" 97285405 "+" "cg07227350" "chr6:97284830-97285782" "Island" "GPR63;GPR63" "NM_001143957;NM_030784" "TSS200;TSS200" "6:97284383-97286057" "Promoter_Associated" -1.46845858893389 -9.69448619556233 -4.22229442929554 2.72882969373685e-05 0.00134953950047156 2.23910960300148
"cg00558737" "chr5" 153418398 "+" "cg00558737" "chr5:153418183-153418669" "Island" "MFAP3;MFAP3;FAM114A2;MFAP3" "NR_024152;NM_005927;NM_018691;NM_001135037" "TSS200;TSS200;5'UTR;TSS200" "5:153417787-153418937" "Unclassified" -1.64684888451981 -10.4134832745936 -4.20603598948496 2.92751892092374e-05 0.00141784651906849 2.17462424735752
"cg00411741" "chr19" 18208476 "-" "cg00411741" "chr19:18209911-18210268" "N_Shore" "MAST3" "NM_015016" "TSS200" "19:18208217-18209144" "Promoter_Associated" -1.35277597380195 -7.71907112133146 -4.19820923790996 3.02800992803364e-05 0.00145175241554266 2.14366552895854
"cg04405414" "chr1" 169075578 "-" "cg04405414" "chr1:169074766-169076411" "Island" "ATP1B1;ATP1B1" "NM_001677;NM_001001787" "TSS1500;TSS1500" "1:169075184-169076069" "Promoter_Associated" -1.21551664921012 -8.86870231854488 -4.16111822920683 3.55058186413033e-05 0.00162393557292274 1.99769752454395
"cg09758623" "chr20" 18568477 "-" "cg09758623" "chr20:18568436-18569092" "Island" "DTD1" "NM_080820" "TSS200" "20:18567886-18569603" "Promoter_Associated" -1.79120338720285 -10.5954206127258 -4.15316033828854 3.67337377729043e-05 0.00166229792187208 1.96654054463588
"cg27310251" "chr5" 81574067 "+" "cg27310251" "chr5:81573833-81574295" "Island" "RPS23" "NM_001025" "Body" "5:81573677-81574751" "Promoter_Associated" -1.74431696612083 -10.6901283205746 -4.14856717026922 3.74607529243043e-05 0.001684160822633 1.9485830590782
"cg12627700" "chr1" 113249667 "+" "cg12627700" "chr1:113249342-113250198" "Island" "RHOC;RHOC;RHOC;RHOC" "NM_001042679;NM_175744;NM_001042679;NM_001042678" "1stExon;5'UTR;5'UTR;5'UTR" "1:113249061-113250427" "Unclassified" -1.48827251873535 -10.2954647613859 -4.09214067552938 4.75855959104885e-05 0.00200193171181147 1.72952142113998
"cg07743799" "chr20" 2821434 "+" "cg07743799" "chr20:2820509-2821911" "Island" "FAM113A;VPS16;VPS16" "NM_022760;NM_080413;NM_022575" "TSS200;1stExon;1stExon" "20:2821243-2821552" "Promoter_Associated" -1.18616585469892 -9.12291220140468 -4.06455860922415 5.3433906351512e-05 0.0021732300767155 1.62348104446957
"cg02678909" "chr10" 111767639 "-" "cg02678909" "chr10:111767087-111768355" "Island" "ADD3;ADD3;ADD3" "NM_016824;NM_019903;NM_001121" "TSS200;5'UTR;TSS200" "10:111767448-111767905" "Promoter_Associated" -1.55570666430873 -7.92630015733088 -4.06133144601856 5.41611454315897e-05 0.00219340727886882 1.61111875732915
"cg06171076" "chr6" 26156557 "+" "cg06171076" "chr6:26156449-26157146" "Island" "HIST1H1E" "NM_005321" "TSS200" "6:26156187-26157020" "Promoter_Associated" -1.26957957808771 -8.73420828554575 -4.02623230656153 6.27020547360432e-05 0.00243026477501861 1.47726944338797
"cg00686339" "chr16" 699775 "+" "cg00686339" "chr16:698826-700244" "Island" "WDR90" "NM_145294" "Body" "16:697796-700214" "Promoter_Associated" -1.4954883285245 -10.1166542221895 -4.01554129610125 6.55477576947657e-05 0.00250617439083158 1.43671990737907
